link,strikethrough_price,sold_price,property_type,address,date,lat,long
/on/etobicoke-real-estate/12-harpreet-circ/home/0MWBVyZ9qOpYKemj/,"$974,913","$960,000",Detached,"12 Harpreet Circ , Etobicoke - West Humber-Clairville",2016-12-01,43.7271215,-79.6231304
/on/etobicoke-real-estate/19-holbeach-rd/home/02Zpj39LqXO7DrK8/,"$539,000","$527,500",Detached,"19 Holbeach Rd , Etobicoke - West Humber-Clairville",2014-12-13,43.7233181,-79.5831329
/on/etobicoke-real-estate/809-190-manitoba-st/home/5xLkv3Vx18QyDBNr/,"$299,000","$336,000",Condo Apt,"809 - 190 Manitoba St , Etobicoke - Mimico",2014-12-13,43.6241474,-79.491919
/on/etobicoke-real-estate/204-390-dixon-rd/home/zVwod7vVzqJ75mGN/,"$119,900","$115,000",Condo Apt,"204 - 390 Dixon Rd , Etobicoke - Kingsview Village-The Westway",2014-12-13,43.695529,-79.5578415
/on/etobicoke-real-estate/51-23-valhalla-rd/home/0Zaw5Yoa9Al7n961/,"$508,888","$485,000",Condo Townhouse,"51 - 23 Valhalla Inn Rd , Etobicoke - Islington-City Centre West",2014-12-08,43.6405257,-79.5588738
/on/etobicoke-real-estate/1518-451-the-west-mall/home/owJKR7PdMnX7XeLP/,"$139,900","$138,000",Condo Apt,"1518 - 451 The West Mall , Etobicoke - Etobicoke West Mall",2012-12-19,43.64671209999999,-79.56661419999999
/on/etobicoke-real-estate/1573-royal-york-rd/home/BDO1w3W2JA678Jg0/,"$599,900","$576,500",Detached,"1573 Royal York Rd , Etobicoke - Humber Heights",2012-12-03,43.6983778,-79.53334149999999
/on/etobicoke-real-estate/808-320-dixon-rd/home/r56k97wqoM1YKRjD/,"$44,888","$37,500",Condo Apt,"808 - 320 Dixon Rd , Etobicoke - Kingsview Village-The Westway",2012-11-20,43.6966281,-79.5522517
/on/etobicoke-real-estate/27-mattari-crt/home/dXawjy4G8ewYrR18/,"$389,900","$398,000",Freehold Townhouse,"27 Mattari Crt , Etobicoke - West Humber-Clairville",2012-11-16,43.7336062,-79.6104608
/on/etobicoke-real-estate/4-cromer-pl/home/obqB176G1mw3ZajD/,"$509,900","$490,000",Detached,"4 Cromer Pl , Etobicoke - Willowridge-Martingrove-Richview",2012-11-16,43.6883169,-79.56610970000001
/on/etobicoke-real-estate/311-rathburn-rd/home/02Zpj39ZbjgYDrK8/,"$599,900","$590,000",Detached,"311 Rathburn Rd , Etobicoke - Islington-City Centre West",2012-11-16,43.65662080000001,-79.5561322
/on/etobicoke-real-estate/18-burnhamill-pl/home/ZNkKJ3JrK8e3d4V6/,"$579,000","$580,000",Detached,"18 Burnhamill Pl , Etobicoke - Eringate-Centennial-West Deane",2012-11-13,43.6423624,-79.5834356
/on/etobicoke-real-estate/245-john-garland-blvd/home/0J6Em7bE69jyXBeq/,"$479,000","$450,000",Detached,"245 John Garland Blvd , Etobicoke - West Humber-Clairville",2012-11-13,43.732634,-79.5928952
/on/etobicoke-real-estate/54-golfwood-hts/home/5xLkv3VazKQ7DBNr/,"$769,000","$750,000",Detached,"54 Golfwood Hts , Etobicoke - Kingsview Village-The Westway",2011-12-06,43.702058,-79.5428474
