price,address,mls,office_name,office_type,office_address,Property Type,Building Type,Storeys,Square Footage,Community Name,Title,Annual Property Taxes,Parking Type,Time on REALTOR.ca,Above Grade,Total,Partial,Appliances Included,Features,Building Amenities,Cooling,Heating Type,Exterior Finish,Community Features,Maintenance Fees,Maintenance Fees Include,Maintenance Management Company,Total Parking Spaces,View,Below Grade,Flooring,Structures,Land Size,Basement Features,Basement Type,Style,Architecture Style,Fire Protection,Rental Equipment,Fireplace,Utility Sewer,Water,Amenities Nearby,Fencing,Frontage,Land Depth,Foundation Type,Utility Type,Zoning Description,Pool Type,Split Level Style,Landscape Features,Surface Water,Subdivision Name,Built in,Storage,Total Units,Above Grade Finished,Below Grade Finished,Access,Waterfront,Utility Communications,Construction Status,Construction Material,Waterfront Name,Other Style,Fireplace Fuel,Utility-Hydro,Other,Age Of Building,Business Type
"$899,800","50 - 719 LAWRENCE AVENUE WToronto (Yorkdale-Glen Park), Ontario M6A0C6",W10678586,RE/MAX ATRIUM HOME REALTY,Brokerage,"7100 WARDEN AVE #1AMARKHAM, Ontario L3R8B5",Single Family,Row / Townhouse,3,1000 - 1199 sqft,Yorkdale-Glen Park,Condominium/Strata,"$3,869.71 (CAD)",Underground,1 hour,2,2,1,"Garage door opener remote(s), Dishwasher, Dryer, Microwave, Refrigerator, Stove, Washer, Window Coverings",In suite Laundry,Visitor Parking,"Central air conditioning, Ventilation system",Forced air (Natural gas),"Brick, Concrete",Pet Restrictions,$512.86 (CAD) Monthly,"Common Area Maintenance, Parking, Insurance",Firstservice Residential,2,City view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$888,000","1515 - 8 HILLCREST AVENUEToronto (Willowdale East), Ontario M2N3N5",C10650046,HOMELIFE NEW WORLD REALTY INC.,Brokerage,"201 CONSUMERS RD., STE. 205TORONTO, Ontario M2J4G8",Single Family,Apartment,,1000 - 1199 sqft,Willowdale East,Condominium/Strata,"$4,055.69 (CAD)",Underground,1 hour,2,2,,Garage door opener remote(s),Balcony,"Recreation Centre, Exercise Centre, Sauna",Central air conditioning,Forced air (Natural gas),Concrete,Pet Restrictions,$817.95 (CAD) Monthly,"Common Area Maintenance, Insurance, Parking, Water",...,1,,1,Ceramic,Tennis Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$639,000","1502 - 10 YORK STREETToronto (Waterfront Communities), Ontario M5J2L9",C10640404,RE/MAX REALTRON TNS REALTY INC.,Brokerage,"7800 WOODBINE AVE PHMARKHAM, Ontario L3R2N7",Single Family,Apartment,,500 - 599 sqft,Waterfront Communities C1,Condominium/Strata,"$2,531.84 (CAD)",Underground,1 hour,1,1,,,In suite Laundry,,Central air conditioning,Forced air (Natural gas),Concrete,Pet Restrictions,$400.99 (CAD) Monthly,"Water, Common Area Maintenance, Insurance",Del Property Management,0,,,"Laminate, Ceramic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,139,000","185 RICHARD CLARK DRIVEToronto (Downsview-Roding-CFB), Ontario M3M1V9",W10562062,IPRO REALTY LTD.,Brokerage,"3079B DUNDAS ST WESTTORONTO, Ontario M6P1Z9",Single Family,House,1,,Downsview-Roding-CFB,Freehold,"$4,878.27 (CAD)",Attached Garage,3 hours,3,3,,"Water Heater - Tankless, Dryer, Range, Refrigerator, Washer","Hillside, Hilly, Carpet Free, In-Law Suite",Fireplace(s),Central air conditioning,Forced air (Natural gas),Brick,Community Centre,,,,5,,2,"Vinyl, Laminate",,54 x 112 FT,"Apartment in basement, Separate entrance",N/A,Detached,Bungalow,Smoke Detectors,Water Heater,1,Sanitary sewer,Municipal water,"Hospital, Park, Public Transit, Schools",Fenced yard,54 ft,112 ft,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,150,000","112 ANNDALE DRIVEToronto (Willowdale East), Ontario M2N2X4",C10564186,HOMELIFE GOLD PACIFIC REALTY INC.,Brokerage,"3601 VICTORIA PARK AVE #401TORONTO, Ontario M1W3Y3",Single Family,House,1.5,,Willowdale East,Freehold,"$8,182.90 (CAD)",,3 hours,3,3,,"Dishwasher, Dryer, Hood Fan, Microwave, Refrigerator, Stove, Washer",Carpet Free,,Central air conditioning,Forced air (Natural gas),Brick,,,,,4,,1,"Hardwood, Laminate",,50 x 110 FT,Separate entrance,N/A (Finished),Detached,,,,,Sanitary sewer,Municipal water,"Park, Public Transit, Schools",,50 ft,110 ft,Concrete,Sewer (Installed),Residential R4,,,,,,,,,,,,,,,,,,,,,,
"$399,900","708 - 60 TOWN CENTRE COURTToronto (Bendale), Ontario M1P0B1",E10541395,EXP REALTY,Brokerage,"4711 YONGE ST 10TH FLR106430TORONTO, Ontario M2N6K8",Single Family,Apartment,,600 - 699 sqft,Bendale,Condominium/Strata,"$1,974.20 (CAD)",Underground,3 hours,1,1,,"Dishwasher, Dryer, Range, Stove, Washer, Window Coverings",Balcony,"Security/Concierge, Exercise Centre, Party Room, Visitor Parking, Storage - Locker",Central air conditioning,Forced air (Natural gas),Concrete,Pet Restrictions,$665.75 (CAD) Monthly,"Heat, Water, Common Area Maintenance, Insurance, Parking",Duka Property Management,1,City view,1,Laminate,,,,,,,,,,,,,,,,,,,Indoor pool,,,,,,,,,,,,,,,,,,,,,
"$1,559,000","51 TROMLEY DRIVEToronto (Princess-Rosethorn), Ontario M9B5Y7",W10514116,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,Brokerage,"2320 BLOOR STREET WESTTORONTO, Ontario M6S1P2",Single Family,House,,,Princess-Rosethorn,Freehold,"$5,114.32 (CAD)",Carport,4 hours,3,3,1,"Blinds, Dryer, Range, Refrigerator, Stove, Washer, Water Heater",,,Central air conditioning,Forced air (Natural gas),Brick,,,,,3,,1,Hardwood,,50 x 120 FT,,N/A (Finished),Detached,,,,,Sanitary sewer,Municipal water,,,50 ft,120 ft,,,,,Backsplit,,,,,,,,,,,,,,,,,,,,
"$855,000","506 - 12 REAN DRIVEToronto (Bayview Village), Ontario M2K3C6",C10511289,RE/MAX EXCEL REALTY LTD.,Brokerage,"50 ACADIA AVE SUITE 120MARKHAM, Ontario L3R0B3",Single Family,Apartment,,1200 - 1399 sqft,Bayview Village,Condominium/Strata,"$3,612.21 (CAD)",Underground,4 hours,2,2,,,"Balcony, Carpet Free","Exercise Centre, Recreation Centre, Visitor Parking, Storage - Locker",Central air conditioning,Forced air (Natural gas),Concrete,"Pet Restrictions, Community Centre","$1,062.86 (CAD) Monthly","Heat, Water, Common Area Maintenance, Insurance, Parking",Maple Ridge (905) 507-6726,1,,,"Hardwood, Ceramic",,,,,,,,,,,,"Hospital, Schools, Public Transit, Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,749,000","12 EUCLID AVENUEToronto (Highland Creek), Ontario M1C1J6",E10477077,IPRO REALTY LTD.,Brokerage,"3638 LAWRENCE AVE ETORONTO, Ontario M1G1P6",Single Family,House,2,3500 - 5000 sqft,Highland Creek,Freehold,"$3,785 (CAD)",Attached Garage,5 hours,4,6,1,"Oven - Built-In, Water Heater, Dishwasher, Dryer, Refrigerator, Stove, Washer","Lighting, Paved yard, Carpet Free, Sump Pump",,Central air conditioning,Forced air (Natural gas),"Brick, Stone",,,,,8,,,"Hardwood, Laminate",Patio(s),50.7 x 148 FT,Walk out,N/A (Finished),Detached,,,,,Sanitary sewer,Municipal water,,,"50 ft ,8 in",148 ft,Concrete,,,,,,,,,,,,,,,,,,,,,,,,
"$2,249,000","75 KENILWORTH AVENUEToronto (The Beaches), Ontario M4L3S4",E10477061,CMI REAL ESTATE INC.,Brokerage,"2425 MATHESON BLVD E 8TH FLRMISSISSAUGA, Ontario L4W5K4",Single Family,House,2,1500 - 2000 sqft,The Beaches,Freehold,"$11,151 (CAD)",Detached Garage,5 hours,3,5,1,Water Heater,Guest Suite,Canopy,Central air conditioning,Forced air (Natural gas),Stucco,Community Centre,,,,3,City view,1,Hardwood,"Deck, Patio(s), Porch",25 x 115 FT,,N/A (Finished),Detached,,Controlled entry,,,Sanitary sewer,Municipal water,"Beach, Park, Public Transit, Schools",,25 ft,115 ft,Concrete,,R(d0.6),,,Landscaped,Lake/Pond,,,,,,,,,,,,,,,,,,
