price,address,mls,rooms,room dimensions,room_properties,Status,Type,Style,Size (sq ft),Age,Area,Community,Bedrooms,Bathrooms,Kitchens,Rooms,Den/Family Room,Patio Terrace,Unit Exposure,Ensuite Laundry,Air Conditioning,Fireplace,Laundry,Pets,Stories,Basement,Elevator,Heating,Exterior,Garage,Parking Designation,Parking Features,Parking Places,Parking Total,Lockers,Maintenance,Taxes,Tax Year,Central A/C Included,Common Elements Included,Water Included,Amenity,Feature,Cross Street,Municipality District,Condo Corporation,Corporation Number,Property Management,Building Insurance Included,Cable Included,Heating Included,Hydro Included,Parking Included,Virtual Tour,Parking Space,Parking Description,Locker Quantity,Locker Level,Locker Number,Bedrooms Plus,Rooms Plus,Water supply,Driveway,Covered Parking Places,Tax Legal Description,Fronting On,Frontage,Lot Depth,Lot Size Units,Pool,Sewer,Parcel Number,Zoning,Exterior Features,Parking Charges,Energy Certificate,Green PIS,Kitchens Plus,Electricity,Gas,Cable,Telephone,Retirement,UFFI,Lot Irregularities,Handicap Equipped,Assesment Year,Parcel of Tied Land,Acres,Structure,Waterfront,Open House Date,Open House Start,Open House Finished,Water Supply,Assessment,Waterfront Features,Shore Allow,Shoreline Exposure,Transaction Type,Property Type,Attachment,Ownership,MLS®#,Bedrooms Above Ground,Bedrooms Below Ground,Half Bathrooms,Flooring,Basement Status,Heating Fuel,Cooling,Total Stories,Parking Space (A),Parking Spaces (Total),Water,Location Description,Community Name,Size,Size Irregular,Depth,Size (Frontage),Video,Additional Monthly Fee,Open House From,Office Area Units,Total Area,Total Area metric,Taxes Type,Utilities,Free Standing,Lot Code,List Price Type,Office Area,Water Body Name,Water Source,Appliances,Basement Features,Foundation,Lot Features,Certificate Level,Farm/Agriculture,Retail Area,Retail Area metric,Sprinklers,Business Type,Rail,Chattels Included,Expense Type,Financial Statement,Franchise,Area Influence,Ceil Height (ft),Survey,Building Area Total,Alternate MLSN umber,Building Area Source,RATIO Current Price By Above Grade Finished Area,Area Major,Region,Property Sub Type,Area Minor,Last Modified,Current Price,Survey Type,Common Interest,Postal Code,Full Bathrooms,Inclusions,Above Grade Finished Area Units,Above Grade Finished Area,Above Grade Finished Area Source,Kitchen Appliances,Window Features,Total Bathrooms,Main Level Bathrooms,Interior Features,Number Of 3 Piece Bathrooms,Baths On Level Basement Count,Roof,Construction,Room Kitchen Level,Building Area Units,Kitchens Above Grade,INumber Of 2 Piece Bathrooms,Number Of Rooms Above Grade,Baths On Level Second Count,Baths Total Rooms,Number Of 4 Piece Bathrooms,Beds On Level Second Count,Kitchens Total,Beds Above Grade,Number Of Rooms Below Grade,Driveway Parking,Open Parking Spaces,Covered Spaces,Attached Garage,Open Parking,Association Fee Frequency,Directions,FarmLandAreaUnits,Frontage Type �,Lot Size Dimensions,Acres Range,Orig_lp_cd,Doing Business As,Seats,Days Open,Number of Employees,Llbo,Outside Storage,Percent Building,Soil Test,Com_cn_fee,Ceiling Height,Crane,Industrial Area,Industrial Area Units,Central Vac,lat,long
"$635,000",104 - 95 La Rose Avenue,MLS® W11237359,"['Kitchen', 'Living', 'Dining', 'Prim Bdrm', '2nd Br']","['2.44 x 3.36', '4.47 x 5.49', '3.05 x 3.36', '3.81 x 5.33', '3.05 x 3.76']","['Eat-In Kitchen, Hardwood Floor', 'Open Concept, Hardwood Floor, Combined W/Dining', 'Open Concept, Hardwood Floor, W/O To Balcony', 'Hardwood Floor, 4 Pc Ensuite, W/I Closet', 'Hardwood Floor, W/O To Balcony, Double Closet']",Sale,Condo Apt,Apartment,1000-1199,,Toronto,Humber Heights,2.0,2.0,1.0,5.0,N,Open,Se,Y,Central Air,N,Ensuite,Restrict,1,,,Heat Pump,Brick,Underground,Exclusive,Private,1.0,1.0,Exclusive,1147.78,2524.97,2024.0,Y,Y,Y,,Park,Royal York and Eglinton,Toronto W09,MTCP,599.0,Y.L.Hendler Property Management 416-249-7544,Y,Y,Y,Y,Y,https://fusion.realtourvision.com/s/idx/254813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6854626,-79.5193762
"$1,895,000",612 - 1 Strathgowan Avenue,MLS® C11238266,"['Foyer', 'Living', 'Dining', 'Kitchen', 'Prim Bdrm', 'Bathroom', '2nd Br', 'Bathroom', 'Other']","['1.38 x 2.86', '3.66 x 4.18', '3.05 x 3.82', '3.19 x 3.93', '2.94 x 4.38', '3.01 x 3.72', '2.68 x 4.21', '1.49 x 2.71', '1.50 x 3.25']","['Closet, Closet Organizers, Hardwood Floor', 'Open Concept, Sliding Doors, W/O To Balcony', 'Open Concept, South View, Hardwood Floor', 'Centre Island, Breakfast Bar, B/I Appliances', '5 Pc Ensuite, W/I Closet, Picture Window', 'Soaker, Separate Shower, B/I Vanity', 'Double Closet, Closet Organizers, Picture Window', '3 Pc Bath, B/I Vanity, Porcelain Floor', 'Balcony, South View']",Sale,Condo Apt,Apartment,1000-1199,0-5,Toronto,Lawrence Park South,2.0,2.0,1.0,6.0,N,Open,S,Y,Central Air,Y,Ensuite,Restrict,6,,,Heat Pump,Stone,Underground,Owned,Undergrnd,1.0,1.0,Owned,1127.12,8946.0,2024.0,,Y,,Visitor Parking,Public Transit,Yonge St / Blythwood Rd,Toronto C04,TSCC,3027.0,Del Property Management,Y,,,,Y,,#17,P3#12,12,P3,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7186636,-79.4005926
"$499,000",1107 - 68 Shuter Street,MLS® C11238058,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', 'Den', 'Laundry']","['3.05 x 3.63', '3.05 x 3.63', '3.00 x 3.05', '2.95 x 3.02', '1.52 x 2.52', '0.65 x 0.95']","['W/O To Balcony, Large Window, Laminate', 'Open Concept, Combined W/Kitchen, Laminate', 'Quartz Counter, Backsplash, Stainless Steel Appl', 'Large Closet, Large Window, Laminate', '4 Pc Bath, Closet, Laminate', 'Separate Rm, Folding Door, Tile Floor']",Sale,Condo Apt,Apartment,500-599,,Toronto,Church-Yonge Corridor,1.0,1.0,1.0,4.0,N,Open,W,Y,Central Air,N,Ensuite,Restrict,10,,,Forced Air,Concrete,Underground,,Undergrnd,0.0,0.0,,497.57,2600.0,2024.0,,,,Rooftop Deck/Garden,Library,Church & Shuter,Toronto C08,TSCP,2564.0,Icon Property Management,,,,,,https://youtu.be/Ps4RShjK6Ow,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6551135,-79.3757349
"$777,777",2701 - 65 St Mary Street,MLS® C11236562,"['Living', 'Dining', 'Prim Bdrm']","['3.51 x 6.34', '3.51 x 6.34', '3.75 x 2.92']","['Hardwood Floor, Combined W/Dining, W/O To Balcony', 'Hardwood Floor, Combined W/Living, Centre Island', 'Hardwood Floor, Closet, Window Flr to Ceil']",Sale,Condo Apt,Apartment,500-599,,Toronto,Bay Street Corridor,1.0,1.0,1.0,3.0,N,Open,E,Y,Central Air,N,Ensuite,Restrict,27,,,Forced Air,Concrete,Underground,,Undergrnd,0.0,0.0,Owned,398.33,2825.0,2023.0,Y,Y,Y,Visitor Parking,Hospital,Bay and Bloor,Toronto C01,TSCP,2525.0,Shelter Canadian Properties Limited,Y,,Y,,,,,,,A,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6672065,-79.389162
"$1,299,999",95 Grovedale Avenue,MLS® W11237401,"['Br', '2nd Br', '3rd Br', 'Bathroom', 'Kitchen', 'Dining', 'Dining', 'Living', 'Foyer', 'Bathroom', 'Family', 'Other']","['3.03 x 4.18', '3.67 x 2.90', '3.67 x 4.33', '1.98 x 2.63', '2.95 x 2.17', '2.95 x 2.16', '2.89 x 3.44', '3.71 x 6.43', '1.74 x 1.79', '1.47 x 2.09', '5.68 x 6.88', '3.76 x 7.02']","['Above Grade Window, Closet', 'Above Grade Window, Closet', ', Above Grade Window, Closet', '4 Pc Bath', '', '', '', '', '', '4 Pc Ensuite, Finished', ', Open Concept', 'Open Concept']",Sale,Detached,Bungalow,,,Toronto,Maple Leaf,3.0,2.0,2.0,7.0,Y,,,,Central Air,Y,,,,Sep Entrance,,Forced Air,Brick,Detached,,,3.0,5.0,,,5450.51,2024.0,,,,,,Keele & 401,Toronto W04,,,,,,,,,,,,,,,1.0,,Municipal,Private,2.0,"LT 50 PL 3470 NORTH YORK; PT LT 49 PL 3470 NORTH YORK AS IN NY620009; TORONTO (N YORK) ,  CITY OF TORONTO",S,58.0,150.0,Feet,,Sewers,102720253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7165343,-79.4894807
"$1,025,000",26 Helena Avenue,MLS® C11237216,"['Foyer', 'Living', 'Dining', 'Kitchen', 'Family', 'Prim Bdrm', '2nd Br', '3rd Br', 'Bathroom', 'Rec', 'Study', 'Laundry']","['N/A', '5.84 x 3.40', '3.96 x 2.74', '5.18 x 2.36', '3.73 x 4.57', '3.51 x 4.32', '3.86 x 2.36', '3.25 x 2.74', 'N/A', '8.97 x 3.35', '3.89 x 4.37', '3.35 x 1.73']","['Pot Lights, 4 Pc Bath, Laminate', '', 'French Doors, Leaded Glass, Hardwood Floor', 'French Doors, Coffered Ceiling, Hardwood Floor', 'Updated, Stainless Steel Appl, Ceramic Floor', 'W/O To Balcony, Sliding Doors, Laminate', 'Double Closet, Ceiling Fan, Tile Floor', ', Closet, Hardwood Floor', '4 Pc Bath', 'Pot Lights, 4 Pc Bath, Laminate', ', Cedar Closet, Broadloom', '']",Sale,Semi-Detached,2-Storey,,,Toronto,Wychwood,3.0,2.0,1.0,7.0,Y,,,,,N,,,,Finished,,Radiant,Brick,Detached,,,0.0,2.0,,,6623.58,2024.0,,,,,Fenced Yard,Bathurst / St Clair,Toronto C02,,,,,,,,,,,,,,,,1.0,Municipal,Lane,2.0,"PCL 6-1 SEC M54; LT 6 PL M54 TORONTO; TORONTO ,  CITY OF TORONTO",N,20.0,144.0,Feet,,Sewers,212610191.0,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.7493209,150.8043052
"$1,539,000",131 Maplewood Avenue,MLS® C11236209,"['Foyer', 'Living', 'Dining', 'Kitchen', 'Mudroom', 'Prim Bdrm', '2nd Br', '3rd Br', 'Rec', 'Furnace', 'Bathroom']","['4.34 x 1.75', '4.17 x 4.17', '2.82 x 3.38', '4.17 x 3.71', '2.54 x 2.51', '4.17 x 4.88', '3.23 x 3.25', '2.95 x 1.55', '3.84 x 8.69', '2.26 x 2.97', '1.52 x 2.97']","['Hardwood Floor, Combined W/Living, Picture Window', 'Hardwood Floor, Brick Fireplace, Open Concept', 'Hardwood Floor, Open Concept, 2 Pc Bath', 'Hardwood Floor, Centre Island, Stone Counter', 'Hardwood Floor, Picture Window, W/O To Yard', 'Hardwood Floor, 4 Pc Ensuite, Picture Window', 'Hardwood Floor, Picture Window, Closet', 'Hardwood Floor, Picture Window, O/Looks Garden', 'Vinyl Floor, Above Grade Window, W/W Closet', 'Stone Floor, Combined W/Laundry', 'Tile Floor, 4 Pc Bath, Above Grade Window']",Sale,Semi-Detached,2-Storey,,,Toronto,Humewood-Cedarvale,3.0,4.0,1.0,8.0,N,,,,Central Air,Y,,,,Full,,Forced Air,Brick,Detached,,,1.0,2.0,,,5393.28,2024.0,,,,,,St. Clair And Christie,Toronto C03,,,,,,,,,https://www.houssmax.ca/vtournb/h0460940,,,,,,,3.0,Municipal,Private,1.0,See Schedule B,S,16.6,100.13,Feet,,Sewers,104700048.0,,Stucco/Plaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$468,000",806 - 4091 Sheppard Avenue E,MLS® E11231745,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', 'Locker']","['5.17 x 3.55', '2.70 x 3.33', '2.50 x 3.10', '3.30 x 3.63', '2.86 x 2.80', 'N/A']","['Laminate, W/O To Balcony, Sunken Room', 'Laminate, O/Looks Living', 'Eat-In Kitchen, Pantry', 'Laminate, Large Window, Large Closet', 'Laminate, Large Window', '']",Sale,Condo Apt,Apartment,900-999,,Toronto,Agincourt South-Malvern West,2.0,1.0,1.0,6.0,N,Open,S,,,N,,Restrict,08,,,Baseboard,Concrete,Underground,Exclusive,Undergrnd,1.0,1.0,Ensuite,607.4,1193.0,2023.0,,Y,Y,Recreation Room,Hospital,Sheppard/Kennedy,Toronto E07,YCC,289.0,Atrens Property Management,Y,Y,Y,,Y,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.78368760000001,-79.2845893
"$689,000",705 - 181 Wynford Drive W,MLS® C11234846,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', 'Den']","['3.50 x 8.50', '3.50 x 8.50', '3.50 x 8.50', '3.40 x 4.80', '3.30 x 3.70', '2.20 x 3.50']","['Combined W/Dining, W/O To Balcony', 'Combined W/Living, Large Window', 'Open Concept', 'Closet, Large Window', 'Closet, Large Window', 'Large Window']",Sale,Condo Apt,Apartment,1000-1199,,Toronto,Banbury-Don Mills,2.0,2.0,1.0,5.0,N,Open,Sw,Y,Central Air,N,Ensuite,Restrict,7,,,Forced Air,Brick,Underground,Owned,Undergrnd,0.0,1.0,Owned,759.84,3218.8,2024.0,,Y,Y,,Golf,DON MILLS AND EGLINTON,Toronto C13,TSCP,2043.0,DEL PROPERTY MANAGEMENT 416-384-1696,Y,,,,Y,http://www.181Wynford-705.com/unbranded/,#79,P3,,P3,185.0,1.0,,,,,,,,,,,,130430123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7248836,-79.3285334
"$650,000",303 - 501 St Clair Avenue W,MLS® C11230318,"['Foyer', 'Dining', 'Kitchen', 'Living', 'Prim Bdrm', '2nd Br', 'Bathroom', 'Bathroom']","['1.31 x 5.97', '5.76 x 4.94', '5.76 x 4.94', '5.76 x 4.94', '2.83 x 3.41', '2.47 x 2.62', '1.43 x 2.00', '1.43 x 2.41']","['Laminate, Mirrored Closet, B/I Shelves', 'Laminate, Open Concept, Large Window', 'Laminate, W/O To Balcony, Breakfast Bar', 'Laminate, Large Window, Open Concept', 'Laminate, W/O To Balcony, Window Flr to Ceil', 'Laminate, W/I Closet, Separate Rm', 'Granite Floor, Tile Floor, 4 Pc Bath', 'Granite Counter, 3 Pc Ensuite, B/I Shelves']",Sale,Condo Apt,Apartment,800-899,0-5,Toronto,Casa Loma,2.0,2.0,1.0,8.0,N,Open,Ne,Y,Central Air,N,Ensuite,Restrict,3,,,Forced Air,Concrete,Underground,Rental,,0.0,1.0,,743.41,3318.94,2024.0,Y,Y,Y,Lap Pool,Park,Bathurst & St. Clair,Toronto C02,TSCP,2715.0,Principle Property Management,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,Metal/Side,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6829978,-79.4178141
