_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
1,298,1126,WILLIAMSON PARK RAVINE,Park,None,1680 GERRARD ST E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/298/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3173566254804, 43.6780549678585]]}"
2,2342,1328,GLENELLEN PARKETTE,Park,None,63 GLENELLEN DR E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2342/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4954482404427, 43.640619013426]]}"
3,2281,1317,GATEWAY PARK,Park,None,40 EAST LIBERTY ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2281/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4119174331757, 43.6393331052003]]}"
4,1030,964,SMITHWOOD PARK,Park,Playground,79 SMITHWOOD DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1030/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5507058668245, 43.6408874593971]]}"
5,2544,816,PETER STREET BASIN PARK,Park,None,370 QUEENS QUAY W,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2544/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3897486591197, 43.6384910224043]]}"
6,700,765,NORTH PARK,Park,"Playground, Tennis Court",587 RUSTIC RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/700/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4739613016533, 43.7164073429907]]}"
7,349,976,SPENVALLEY PARK,Park,"Ball Diamond, Playground, Sports Field",130 SPENVALLEY DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/349/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.506297398619, 43.744393624159]]}"
8,55,1325,GLEBE MANOR SQUARE,Park,None,51 HARWOOD RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/55/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3875326925378, 43.7025033968944]]}"
9,2496,1578,WESTVIEW GREENBELT,Park,None,20 A NORDALE CRES,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2496/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4879256940273, 43.7012437121585]]}"
10,2228,1699,CONSTABLE PERCY CUMMINS PARKETTE,Park,None,235 CONNOLLY ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2228/index.html,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4613989687844, 43.6717788951576]]}"
