0,1,2,3,4,5
,,,,,
,,,,,
"A B Lucas
                Score:7.6Rank:120/689add_circleAdd to compare",,,,,
"A N Myer
                Score:7.5Rank:138/689add_circleAdd to compare",,,,,
"A Y Jackson
                Score:7.9Rank:77/689add_circleAdd to compare",,,,,
"A.Y. Jackson
                Score:8.2Rank:52/689add_circleAdd to compare",,,,,
"Abbey Park
                Score:8.5Rank:26/689add_circleAdd to compare",,,,,
"Acton
                Score:6Rank:378/689add_circleAdd to compare",,,,,
"Adam Scott
                Score:5.4Rank:471/689add_circleAdd to compare",,,,,
"Agincourt
                Score:8.3Rank:41/689add_circleAdd to compare",,,,,
,,,,,
,,,,,
"A B Lucas
                     2021 - 22 Score7.6 2021 - 22 Rank120/689CityLondonAdd to compare",,,,,
"A N Myer
                     2021 - 22 Score7.5 2021 - 22 Rank138/689CityNiagara FallsAdd to compare",,,,,
"A Y Jackson
                     2021 - 22 Score7.9 2021 - 22 Rank77/689CityTorontoAdd to compare",,,,,
"A.Y. Jackson
                     2021 - 22 Score8.2 2021 - 22 Rank52/689CityKanataAdd to compare",,,,,
"Abbey Park
                     2021 - 22 Score8.5 2021 - 22 Rank26/689CityOakvilleAdd to compare",,,,,
"Acton
                     2021 - 22 Score6 2021 - 22 Rank378/689CityActonAdd to compare",,,,,
"Adam Scott
                     2021 - 22 Score5.4 2021 - 22 Rank471/689CityPeterboroughAdd to compare",,,,,
"Agincourt
                     2021 - 22 Score8.3 2021 - 22 Rank41/689CityTorontoAdd to compare",,,,,
"Ajax
                     2021 - 22 Score6.9 2021 - 22 Rank227/689CityAjaxAdd to compare",,,,,
"Albert Campbell
                     2021 - 22 Score7 2021 - 22 Rank210/689CityTorontoAdd to compare",,,,,
"Aldershot
                     2021 - 22 Score7.9 2021 - 22 Rank77/689CityBurlingtonAdd to compare",,,,,
"Alexander MacKenzie
                     2021 - 22 Score7.8 2021 - 22 Rank87/689CityRichmond HillAdd to compare",,,,,
"Algonquin
                     2021 - 22 Score5.3 2021 - 22 Rank480/689CityNorth BayAdd to compare",,,,,
"All Saints
                     2021 - 22 Score8.5 2021 - 22 Rank26/689CityKanataAdd to compare",,,,,
"All Saints
                     2021 - 22 Score7.3 2021 - 22 Rank167/689CityWhitbyAdd to compare",,,,,
"Almaguin Highlands
                     2021 - 22 Score2.9 2021 - 22 Rank645/689CitySouth RiverAdd to compare",,,,,
"Almonte
                     2021 - 22 Score6.1 2021 - 22 Rank357/689CityAlmonteAdd to compare",,,,,
"Ancaster
                     2021 - 22 Score7.2 2021 - 22 Rank181/689CityAncasterAdd to compare",,,,,
"Anderson
                     2021 - 22 Score7.1 2021 - 22 Rank194/689CityWhitbyAdd to compare",,,,,
"Ange-Gabriel
                     2021 - 22 Score8.5 2021 - 22 Rank26/689CityBrockvilleAdd to compare",,,,,
"Archbishop Denis O'Connor
                     2021 - 22 Score6.6 2021 - 22 Rank273/689CityAjaxAdd to compare",,,,,
"Archbishop Romero
                     2021 - 22 Score1.7 2021 - 22 Rank674/689CityTorontoAdd to compare",,,,,
"Arnprior
                     2021 - 22 Score6 2021 - 22 Rank378/689CityArnpriorAdd to compare",,,,,
