School Name,EQAO % at Levels 3/4,OSSLT % Successful,Fraiser Score
A Y Jackson Secondary School,93.0,88.0,7.9
Agincourt Collegiate Institute,73.0,94.0,8.3
Albert Campbell Collegiate Institute,63.0,88.0,7.0
Birchmount Park Collegiate Institute,32.0,79.0,5.2
Bloor Collegiate Institute,79.0,94.0,8.5
C W Jefferys Collegiate Institute,19.0,72.0,3.9
Cedarbrae Collegiate Institute,52.0,76.0,5.4
Central Technical School,29.0,62.0,2.7
Central Toronto Academy,44.0,86.0,2.7
Don Mills Collegiate Institute,61.0,92.0,7.4
Downsview Secondary School,0.0,59.0,1.3
Dr Norman Bethune Collegiate Institute,81.0,84.0,7.4
Earl Haig Secondary School,68.0,92.0,7.9
East York Collegiate Institute,28.0,82.0,5.1
Etobicoke Collegiate Institute,63.0,92.0,7.3
Etobicoke School of the Arts,72.0,97.0,7.3
Forest Hill Collegiate Institute,65.0,91.0,6.9
George S Henry Academy,34.0,74.0,5.5
Georges Vanier Secondary School,37.0,81.0,5.6
Harbord Collegiate Institute,63.0,98.0,8.3
Humberside Collegiate Institute,69.0,95.0,8.5
Jarvis Collegiate Institute,36.0,81.0,5.1
John Polanyi Collegiate Institute,33.0,79.0,5.5
Kipling Collegiate Institute,22.0,56.0,1.8
Lakeshore Collegiate Institute,51.0,74.0,4.9
L'Amoreaux Collegiate Institute,33.0,74.0,4.8
Lawrence Park Collegiate Institute,74.0,97.0,8.7
Leaside High School,71.0,98.0,8.8
Lester B Pearson Collegiate Institute,38.0,80.0,6.1
Malvern Collegiate Institute,74.0,98.0,8.6
Marc Garneau Collegiate Institute,37.0,77.0,4.8
Martingrove Collegiate Institute,50.0,90.0,7.0
Monarch Park Collegiate Institute,63.0,93.0,7.7
Newtonbrook Secondary School,43.0,62.0,3.4
North Albion Collegiate Institute,15.0,75.0,4.6
North Toronto Collegiate Institute,61.0,97.0,9.1
Northern Secondary School,67.0,91.0,7.7
Parkdale Collegiate Institute,59.0,88.0,7.0
R H King Academy,63.0,88.0,7.4
Richview Collegiate Institute,53.0,92.0,7.5
Riverdale Collegiate Institute,62.0,94.0,8.2
Rosedale Heights School of the Arts,59.0,98.0,8.3
Runnymede Collegiate Institute,30.0,78.0,5.2
SATEC @ WA Porter Collegiate Institute,60.0,91.0,7.5
Silverthorn Collegiate Institute,51.0,84.0,6.0
Sir Oliver Mowat Collegiate Institute,37.0,89.0,6.9
Sir Wilfrid Laurier Collegiate Institute,51.0,81.0,6.1
Stephen Leacock Collegiate Institute,35.0,70.0,4.7
Thistletown Collegiate Institute,6.0,77.0,3.9
Ursula Franklin Academy,87.0,100.0,9.3
Victoria Park Collegiate Institute,67.0,82.0,6.1
West Hill Collegiate Institute,27.0,77.0,4.7
West Humber Collegiate Institute,40.0,83.0,5.7
Western Technical-Commercial School,55.0,89.0,6.8
Weston Collegiate Institute,28.0,76.0,4.5
Westview Centennial Secondary School,11.0,54.0,1.4
Wexford Collegiate School for the Arts,42.0,86.0,6.6
Winston Churchill Collegiate Institute,20.0,70.0,3.4
Woburn Collegiate Institute,59.0,82.0,6.9
York Memorial Collegiate Institute,33.0,83.0,6.7
York Mills Collegiate Institute,71.0,92.0,8.3
