School Name,EQAO % at Levels 3/4,OSSLT % Successful,Fraiser Score,lat,long
A Y Jackson Secondary School,93.0,88.0,7.9,43.80471625,-79.36700276362913
Agincourt Collegiate Institute,73.0,94.0,8.3,43.789069,-79.27847026906079
Albert Campbell Collegiate Institute,63.0,88.0,7.0,43.8100007,-79.27335723603309
Birchmount Park Collegiate Institute,32.0,79.0,5.2,43.6978529,-79.25959912803853
Bloor Collegiate Institute,79.0,94.0,8.5,,
C W Jefferys Collegiate Institute,19.0,72.0,3.9,43.7583117,-79.50064579953505
Cedarbrae Collegiate Institute,52.0,76.0,5.4,43.75646655,-79.22669244258802
Central Technical School,29.0,62.0,2.7,43.66291795,-79.4088986364304
Central Toronto Academy,44.0,86.0,2.7,43.6575014,-79.42194764414944
Don Mills Collegiate Institute,61.0,92.0,7.4,43.73503845,-79.33880785159096
Downsview Secondary School,0.0,59.0,1.3,43.730643799999996,-79.4784607468305
Dr Norman Bethune Collegiate Institute,81.0,84.0,7.4,43.812517150000005,-79.31957001158082
Earl Haig Secondary School,68.0,92.0,7.9,43.76983925,-79.40642400589621
East York Collegiate Institute,28.0,82.0,5.1,43.69559315,-79.32666185784666
Etobicoke Collegiate Institute,63.0,92.0,7.3,43.649784100000005,-79.52250763407838
Etobicoke School of the Arts,72.0,97.0,7.3,43.63100635000001,-79.50281742889261
Forest Hill Collegiate Institute,65.0,91.0,6.9,43.70304565,-79.42114843699588
George S Henry Academy,34.0,74.0,5.5,43.76469395,-79.3404387176603
Georges Vanier Secondary School,37.0,81.0,5.6,43.78408965,-79.35157481437625
Harbord Collegiate Institute,63.0,98.0,8.3,43.66156565,-79.41438340008811
Humberside Collegiate Institute,69.0,95.0,8.5,43.6606651,-79.47072434946176
Jarvis Collegiate Institute,36.0,81.0,5.1,43.66596955,-79.37687299407304
John Polanyi Collegiate Institute,33.0,79.0,5.5,43.7179158,-79.43960020322243
Kipling Collegiate Institute,22.0,56.0,1.8,43.6852814,-79.56295492957261
Lakeshore Collegiate Institute,51.0,74.0,4.9,43.6012924,-79.51967074999999
L'Amoreaux Collegiate Institute,33.0,74.0,4.8,43.8033004,-79.31769763967654
Lawrence Park Collegiate Institute,74.0,97.0,8.7,43.721973649999995,-79.41081071754252
Leaside High School,71.0,98.0,8.8,43.7113032,-79.37304582748877
Lester B Pearson Collegiate Institute,38.0,80.0,6.1,43.8034817,-79.22648356970035
Malvern Collegiate Institute,74.0,98.0,8.6,43.6829106,-79.29306964756036
Marc Garneau Collegiate Institute,37.0,77.0,4.8,43.70825035,-79.33456560440479
Martingrove Collegiate Institute,50.0,90.0,7.0,43.67395435,-79.56048013302289
Monarch Park Collegiate Institute,63.0,93.0,7.7,43.678564800000004,-79.32304233048112
Newtonbrook Secondary School,43.0,62.0,3.4,43.7938863,-79.42567902301055
North Albion Collegiate Institute,15.0,75.0,4.6,43.74766815,-79.58610613310859
North Toronto Collegiate Institute,61.0,97.0,9.1,43.709258500000004,-79.39663874156591
Northern Secondary School,67.0,91.0,7.7,43.7108083,-79.38966921031138
Parkdale Collegiate Institute,59.0,88.0,7.0,43.6395008,-79.43471199324962
R H King Academy,63.0,88.0,7.4,43.72350485,-79.2374176431223
Richview Collegiate Institute,53.0,92.0,7.5,43.6781852,-79.54051648588205
Riverdale Collegiate Institute,62.0,94.0,8.2,43.67026755,-79.33419669899203
Rosedale Heights School of the Arts,59.0,98.0,8.3,43.6740007,-79.36612271783682
Runnymede Collegiate Institute,30.0,78.0,5.2,43.6635238,-79.48945927530835
SATEC @ WA Porter Collegiate Institute,60.0,91.0,7.5,,
Silverthorn Collegiate Institute,51.0,84.0,6.0,43.638156800000004,-79.57991601499913
Sir Oliver Mowat Collegiate Institute,37.0,89.0,6.9,43.77905705,-79.14325354627803
Sir Wilfrid Laurier Collegiate Institute,51.0,81.0,6.1,43.746659949999994,-79.19681705108059
Stephen Leacock Collegiate Institute,35.0,70.0,4.7,43.7843767,-79.30114543309745
Thistletown Collegiate Institute,6.0,77.0,3.9,43.72778865,-79.5627899761281
Ursula Franklin Academy,87.0,100.0,9.3,43.6575152,-79.4740877
Victoria Park Collegiate Institute,67.0,82.0,6.1,43.755825099999996,-79.32053452463003
West Hill Collegiate Institute,27.0,77.0,4.7,43.775624,-79.19090334855255
West Humber Collegiate Institute,40.0,83.0,5.7,43.73125315,-79.58697886000199
Western Technical-Commercial School,55.0,89.0,6.8,43.65704585,-79.47466385992027
Weston Collegiate Institute,28.0,76.0,4.5,43.70368695,-79.51070066689331
Westview Centennial Secondary School,11.0,54.0,1.4,43.752959700000005,-79.52415661879334
Wexford Collegiate School for the Arts,42.0,86.0,6.6,43.74584445,-79.30712990079346
Winston Churchill Collegiate Institute,20.0,70.0,3.4,43.74730635,-79.2779811635489
Woburn Collegiate Institute,59.0,82.0,6.9,43.77888075,-79.22864280184095
York Memorial Collegiate Institute,33.0,83.0,6.7,43.6910384,-79.476907889522
York Mills Collegiate Institute,71.0,92.0,8.3,43.75191235,-79.37364256656159
