,price,address,mls,sqft,Community,beds,baths,Building Type,Air Conditioning,Heating Type,No amenity,Party/Meeting Room,Gym,Rooftop Deck/Garden,Balcony,Pool,Exercise Room,Sauna,Guest Suites,Party Room,Storage - Locker,Exercise Centre,Bbqs Allowed,Security/Concierge,Concierge,Visitor Parking,Recreation Room,geometry,ROUTE_NAME,RID,distance_to_subway,School Name,EQAO % at Levels 3/4,OSSLT % Successful,Fraiser Score,distance_to_school,total_area_within_800m,Neighbourhood,CRIME_PCA1,CRIME_PCA2
0,888000.0,"1515 - 8 HILLCREST AVENUEToronto (Willowdale East), Ontario M2N3N5",C10650046,1099.5,Willowdale East,3.0,2.0,Apartment,Central air conditioning,Forced air (Natural gas),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5291975.0035093995 10508775.52882338),LINE 1 (YONGE-UNIVERSITY),1.0,69.5498825816533,Earl Haig Secondary School,68.0,92.0,7.9,730.3098179817465,0.0675564289197785,Yonge-Doris,-1.8970734143492545,0.8950089195024048
1,639000.0,"1502 - 10 YORK STREETToronto (Waterfront Communities), Ontario M5J2L9",C10640404,549.5,Waterfront Communities C1,1.0,1.0,Apartment,Central air conditioning,Forced air (Natural gas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5312523.776786815 10507452.60627656),LINE 1 (YONGE-UNIVERSITY),1.0,684.2654718052215,Jarvis Collegiate Institute,36.0,81.0,5.1,4007.1901325324484,0.0161997465051486,Harbourfront-CityPlace,-1.5283348790019484,1.056112455472086
2,399900.0,"708 - 60 TOWN CENTRE COURTToronto (Bendale), Ontario M1P0B1",E10541395,649.5,Bendale,2.0,1.0,Apartment,Central air conditioning,Forced air (Natural gas),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5293066.20857235 10490723.327922672),LINE 3 (SCARBOROUGH),3.0,208.92425127353,Woburn Collegiate Institute,59.0,82.0,6.9,3299.4267574983323,0.026427544316520002,Bendale-Glen Andrew,-0.01173436898269893,-0.4917897333835626
3,855000.0,"506 - 12 REAN DRIVEToronto (Bayview Village), Ontario M2K3C6",C10511289,1299.5,Bayview Village,2.0,2.0,Apartment,Central air conditioning,Forced air (Natural gas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5292544.869869862 10505467.139511295),LINE 4 (SHEPPARD),4.0,167.48544864803125,York Mills Collegiate Institute,71.0,92.0,8.3,2605.7855698110893,0.1032645510325852,Bayview Village,-1.8635296424857095,0.6359338581748231
4,2749000.0,"12 EUCLID AVENUEToronto (Highland Creek), Ontario M1C1J6",E10477077,4250.0,Highland Creek,4.0,6.5,Detached,Central air conditioning,Forced air (Natural gas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5290767.794685134 10480917.276191738),LINE 3 (SCARBOROUGH),3.0,9442.629702038557,West Hill Collegiate Institute,27.0,77.0,4.7,3555.528957033982,0.1624220886259566,Highland Creek,-0.6618175195194093,-0.1154493975574388
5,2249000.0,"75 KENILWORTH AVENUEToronto (The Beaches), Ontario M4L3S4",E10477061,1750.0,The Beaches,4.0,5.5,Detached,Central air conditioning,Forced air (Natural gas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5309240.2090384215 10497707.931729432),LINE 2 (BLOOR - DANFORTH),2.0,3205.2418383096174,Malvern Collegiate Institute,74.0,98.0,8.6,2535.4761621644275,0.028666491736507302,The Beaches,-1.4471462514318252,1.052510881459796
6,849900.0,"1603 - 10 YONGE STREETToronto (Waterfront Communities), Ontario M5E1R4",C10477072,949.5,Waterfront Communities C1,2.0,2.0,Apartment,Central air conditioning,Forced air (Natural gas),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,POINT (-5312385.586119244 10506747.69273788),LINE 1 (YONGE-UNIVERSITY),1.0,710.1610223789828,Jarvis Collegiate Institute,36.0,81.0,5.1,3762.858394193456,0.0019713281122864003,St Lawrence-East Bayfront-The Islands,-0.7063018600384695,1.2483117314201975
7,599900.0,"2191 YONGE STREETToronto (Mount Pleasant West), Ontario M4S3H8",C10477067,649.5,Mount Pleasant West,1.0,1.0,,Central air conditioning,Forced air (Natural gas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5302056.966470271 10508179.891819445),LINE 1 (YONGE-UNIVERSITY),1.0,133.19280190277894,North Toronto Collegiate Institute,61.0,97.0,9.1,583.7036490034502,0.2834442421184196,South Eglinton-Davisville,-1.7316479650665426,0.9381065799236443
8,648800.0,"502 - 5 CONCORDE PLACEToronto (Banbury-Don Mills), Ontario M3C3M8",C10477051,1099.5,Banbury-Don Mills,2.0,2.0,Apartment,Central air conditioning,Forced air (Electric),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5299097.7571406625 10499666.830575693),LINE 2 (BLOOR - DANFORTH),2.0,6115.778277721357,Don Mills Collegiate Institute,61.0,92.0,7.4,1570.9838566614862,0.0309672510307424,Banbury-Don Mills,-2.115748400186179,0.741219880520184
9,610000.0,"201 - 11 NEILSON DRIVEToronto (Markland Wood), Ontario M9C1V4",W10477042,1099.5,Markland Wood,3.0,2.5,Apartment,,Radiant heat (Natural gas),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5312258.328036924 10528561.459922906),LINE 2 (BLOOR - DANFORTH),2.0,3462.1781236198417,Silverthorn Collegiate Institute,51.0,84.0,6.0,2647.9465290824173,0.0351362075998392,Markland Wood,-0.33823382959489495,0.43747840628178103
10,499900.0,"505 - 2 RIDELLE AVENUEToronto (Forest Hill North), Ontario M6B1H4",C9348290,549.5,Forest Hill North,1.0,1.0,Apartment,,Radiant heat (Natural gas),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,POINT (-5301411.927794699 10511593.643873723),LINE 1 (YONGE-UNIVERSITY),1.0,1356.514528449771,Forest Hill Collegiate Institute,65.0,91.0,6.9,987.8410418788324,0.07983510776678579,Forest Hill North,-0.672952290498666,0.6470055307890893
11,375000.0,"407 - 235 GRANDRAVINE DRIVEToronto (Glenfield-Jane Heights), Ontario M3N1J2",W10477032,649.5,Glenfield-Jane Heights,1.0,1.0,Apartment,,Radiant heat (Natural gas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5293835.648996993 10519910.99681141),LINE 1 (YONGE-UNIVERSITY),1.0,2306.1338242152365,C W Jefferys Collegiate Institute,19.0,72.0,3.9,1670.4053962741016,0.0504571577671104,Glenfield-Jane Heights,-0.8864527854995987,-1.4215705729126609
12,539900.0,"503 - 117 GERRARD STREET EToronto (Church-Yonge Corridor), Ontario M5B2L4",C10463710,749.5,Church-Yonge Corridor,2.0,1.0,Apartment,Central air conditioning,Forced air (Natural gas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5309553.262385827 10506506.602373831),LINE 1 (YONGE-UNIVERSITY),1.0,753.7368959859776,Jarvis Collegiate Institute,36.0,81.0,5.1,922.589939248893,0.0173516069354172,Downtown Yonge East,8.410275263505573,1.5443822757357324
13,3600000.0,"68 YORKVILLE Avenue Unit# 304Toronto, Ontario M5R3V7",40680368,2374.0,,3.0,3.0,Apartment,Central air conditioning,Heat Pump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5307571.974501702 10507978.186068973),LINE 2 (BLOOR - DANFORTH),2.0,224.37804046724872,Jarvis Collegiate Institute,36.0,81.0,5.1,1815.6044250844677,0.05982120778535159,Annex,-0.6119309625124569,1.3510695724640143
14,2249000.0,"75 KENILWORTH AvenueToronto, Ontario M4L3S4",40679294,2150.0,,4.0,5.5,Detached,Central air conditioning,"Forced air, (Natural gas)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5309240.2090384215 10497707.931729432),LINE 2 (BLOOR - DANFORTH),2.0,3205.2418383096174,Malvern Collegiate Institute,74.0,98.0,8.6,2535.4761621644275,0.0139552003926217,The Beaches,-1.4471462514318252,1.052510881459796
15,699990.0,"602 - 50 ORDNANCE STREETToronto (Niagara), Ontario M6K1A2",C10463676,649.5,Niagara,2.0,1.0,Apartment,"Central air conditioning, Ventilation system",Forced air (Natural gas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-5312374.050734203 10510787.437652154),LINE 1 (YONGE-UNIVERSITY),1.0,3159.489717650731,Parkdale Collegiate Institute,59.0,88.0,7.0,2878.6009540407667,0.6638216607253192,Fort York-Liberty Village,-0.9647698275524497,0.8828481984711947
