,price,address,rooms,room dimensions,room_properties,Status,Type,Style,Size (sq ft),Area,Community,Bedrooms,Bedrooms Plus,Bathrooms,Kitchens,Rooms,Den/Family Room,Patio Terrace,Unit Exposure,Ensuite Laundry,Air Conditioning,Fireplace,Laundry,Pets,Stories,Basement,Elevator,Heating,Exterior,Garage,Parking Designation,Parking Features,Parking Places,Parking Total,Parking Space,Parking Description,Lockers,Locker Quantity,Locker Level,Maintenance,Taxes,Tax Year,Common Elements Included,Heating Included,Hydro Included,Water Included,Amenity,Parcel Number,Cross Street,Municipality District,Condo Corporation,Corporation Number,Property Management,Virtual Tour,Locker Number,Building Insurance Included,Central A/C Included,Parking Included,Transaction Type,Property Type,Attachment,Size (Interior),Ownership,MLS®#,Bedrooms Above Ground,Bedrooms Below Ground,Appliances,Construction Material,Heating Fuel,Cooling,Structure,Total Stories,View,Storage,Fire Protection,Parking Space (B),Parking Space (C),Parking Spaces (Total),Maintenance Fee,Payment Frequency,Water,Land Amenties,Building Amenities,Lot Features,Access,Sewer,Location Description,Pool,Size,Acres,Zoning Description,Video,UFFI,Feature,Age,Assessment,Assesment Year,Rooms Plus,Water supply,Kitchens Plus,Driveway,Covered Parking Places,Tax Legal Description,Fronting On,Frontage,Lot Depth,Lot Size Units,Zoning,Retirement,Taxes Included,Share Percentage,Exterior Features,Parcel of Tied Land,Handicap Equipped,Electricity,Gas,Cable,Telephone,Lot Irregularities,Cable Included,Building Area Total,Building Area Source,RATIO Current Price By Above Grade Finished Area,Area Major,Region,Property Attached,Property Sub Type,Area Minor,Last Modified,Current Price,Survey Type,Common Interest,Postal Code,Full Bathrooms,Inclusions,Above Grade Finished Area Units,Above Grade Finished Area,Above Grade Finished Area Source,Laundry Features,Kitchen Appliances,Patio And Porch Features,Total Bathrooms,Main Level Bathrooms,Main Level Bedrooms,Interior Features,Roof,Construction,Room Kitchen Level,Building Area Units,Kitchens Above Grade,Number Of Rooms Above Grade,Baths Total Rooms,Number Of 4 Piece Bathrooms,Kitchens Total,Beds Above Grade,Driveway Parking,Covered Spaces,Association Fee Frequency,Association,Association Fee Includes,Association Fee,Direction Faces,Directions,Water Source,FarmLandAreaUnits,Frontage Type �,Acres Range,Property Management Company,Condo Corporation Number,Energy Certificate,Green PIS,Open House Date,Open House Start,Open House Finished,Waterfront,Waterfront Features,Shore Allow,Shoreline Exposure,Half Bathrooms,Flooring,Basement Status,Parking Space (A),Community Name,Size Irregular,Depth,Size (Frontage),Additional Monthly Fee,Water Supply,Open House From,Office Area Units,Total Area,Total Area metric,Taxes Type,Utilities,Free Standing,Lot Code,List Price Type,Office Area,Water Body Name,Basement Features,Foundation,Certificate Level,Farm/Agriculture,Retail Area,Retail Area metric,Sprinklers,Business Type,Rail,Chattels Included,Expense Type,Financial Statement,Franchise,Survey,Alternate MLSN umber,Window Features,Number Of 3 Piece Bathrooms,Baths On Level Basement Count,INumber Of 2 Piece Bathrooms,Baths On Level Second Count,Beds On Level Second Count,Number Of Rooms Below Grade,Open Parking Spaces,Attached Garage,Open Parking,Lot Size Dimensions,Doing Business As,Seats,Days Open,Number of Employees,Llbo,Outside Storage,Percent Building,Soil Test,Area Influence,Com_cn_fee,Ceil Height (ft),Ceiling Height,Crane,Industrial Area,Industrial Area Units,Central Vac,lat,long
0,649900,15 Lower Jarvis Street,"['4pc Bathroom', 'Primary Bedroom', 'Den', 'Foyer', 'Kitchen', 'Living room']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['Measurements not available', ""7'10'' x 13'5''"", ""7'5'' x 7'1''"", ""8'10'' x 6'6''"", ""10'3'' x 9'10''"", ""12'5'' x 8'5''""]",,,,,,,2.0,,1.0,,,,,,,,False,,,,,,Forced air,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,For sale,Single Family,Attached,562 sqft,Condominium,40681299,1.0,1.0,"Dishwasher,  Dryer,  Microwave,  Refrigerator,  Stove,  Washer,  Hood Fan","Concrete block,  Concrete Walls",Natural gas,Central air conditioning,Tennis Court,1.0,City view,Locker,Monitored Alarm,Underground,,1.0,511.0,Monthly,Municipal water,"Beach,  Park,  Public Transit,  Schools,  Shopping","Exercise Centre,  Guest Suite,  Party Room","Visual exposure,  Balcony","Water access,  Road access,  Highway access",Municipal sewage system,Lower Jarvis & Queens Quay E.,Inground pool,Unknown,false,,https://youriguide.com/910_15_lower_jarvis_st_toronto_on/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6452369,-79.36924429999999
1,349900,212 - 234 Albion Road,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', 'Laundry']","['4.10 x 6.55', '4.10 x 6.55', '2.48 x 5.21', '3.22 x 4.17', '3.62 x 401.0', '1.30 x 2.01']","['Combined W/Dining, Broadloom, W/O To Balcony', 'Combined W/Living, Broadloom', 'Eat-In Kitchen, Pantry, Ceramic Floor', 'W/I Closet, Broadloom', 'Broadloom, Closet, Window', '']",Sale,Condo Apt,Apartment,1000-1199,Toronto,Elms-Old Rexdale,2.0,,1.0,1.0,6.0,N,Open,Se,Y,Central Air,N,Ensuite,Restrict,2.0,,,Forced Air,Brick,Underground,Exclusive,Undergrnd,1.0,1.0,,,,,,1074.84,822.58,2024.0,Y,Y,Y,Y,Sauna,,Weston Rd/ Highway 401,Toronto W10,MTCC,685.0,Grand Vista Management: 905-850-7750,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Public Transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7211803,-79.5443161
2,575000,1408 - 23 Sheppard Avenue E,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', 'Bathroom']","['3.20 x 4.60', '3.20 x 4.60', '2.50 x 3.35', '3.05 x 3.35', '2.13 x 1.83']","['Combined W/Dining, Laminate, W/O To Balcony', 'Combined W/Living, Laminate, Open Concept', 'Granite Counter, Laminate', 'East View, Laminate, Large Closet', '4 Pc Bath']",Sale,Condo Apt,Apartment,500-599,Toronto,Willowdale East,1.0,,1.0,1.0,4.0,Y,Open,E,Y,Central Air,N,Ensuite,Restrict,13.0,,,Forced Air,Brick,Underground,Owned,,0.0,1.0,,,Owned,238.0,,555.46,2275.0,2024.0,,Y,,Y,Visitor Parking,,Yonge and Sheppard,Toronto C14,TSCC,2112.0,Wilson Blanchard Management,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7612398,-79.4090037
3,429000,1109 - 82 Dalhousie Street,"['Living', 'Dining', 'Kitchen']","['3.20 x 4.65', '3.20 x 4.65', '3.20 x 4.65']","['Combined W/Kitchen, Open Concept', 'Laminate', 'Combined W/Living, Open Concept']",Sale,Condo Apt,Apartment,0-499,Toronto,Church-Yonge Corridor,0.0,,1.0,1.0,3.0,N,,W,Y,Central Air,N,Ensuite,Restrict,10.0,,,Forced Air,Concrete,,,,0.0,0.0,,,,,,300.0,0.0,2024.0,Y,,,,Rooftop Deck/Garden,,Dundas St E & Church St,Toronto C08,TSCC,3029.0,360 Community Management,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Transit,New,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.655802,-79.3764407
4,399900,1104 - 581 Avenue Road,"['Living', 'Dining', 'Kitchen', 'Br']","['5.82 x 3.15', '3.84 x 2.39', '3.02 x 2.31', '4.57 x 3.20']","['W/O To Balcony, Parquet Floor, Large Window', 'O/Looks Living, Hardwood Floor, B/I Shelves', 'Stainless Steel Appl, Galley Kitchen, Separate Rm', 'W/O To Balcony, W/I Closet, Hardwood Floor']",Sale,Co-Op Apt,Apartment,600-699,Toronto,Yonge-St. Clair,1.0,,1.0,1.0,4.0,N,Open,N,,Wall Unit,N,,N,11.0,,Y,Water,Brick,Underground,Exclusive,Other,0.0,1.0,20.0,1,Exclusive,404.0,1,982.84,2007.25,2024.0,Y,Y,,Y,Bike Storage,,Avenue Rd and St Clair Ave W,Toronto C02,,0.0,Pro House Management 416-783-7676,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Park,,,,,,,,,,,,,,,N,Y,1.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6890139,-79.4018517
5,739000,2405 - 33 University Avenue,"['Dining', 'Dining', 'Kitchen', 'Prim Bdrm', 'Den', 'Solarium']","['5.18 x 6.25', '5.18 x 6.25', '2.45 x 4.00', '2.56 x 3.11', '4.20 x 2.50', '4.20 x 3.10']","['Hardwood Floor, Combined W/Dining, Sw View', 'Hardwood Floor, Combined W/Living', 'Hardwood Floor, Combined W/Living, Combined W/Dining', '3 Pc Ensuite, W/I Closet', 'South View', 'South View']",Sale,Condo Apt,Apartment,1000-1199,Toronto,Bay Street Corridor,2.0,,2.0,1.0,5.0,N,Encl,S,,Central Air,N,,Restrict,24.0,,,Heat Pump,Other,Underground,Owned,Undergrnd,1.0,1.0,,,,,,903.32,3390.47,2024.0,Y,Y,Y,Y,,,Wellington,Toronto C01,MTCC,932.0,Goldenview,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6462538,-79.38359969999999
6,1298000,386 Westmoreland Avenue N,[],[],[],Sale,Detached,Bungalow,,Toronto,Dovercourt-Wallace Emerson-Junction,2.0,2.0,2.0,2.0,5.0,N,,,,Central Air,N,,,,Sep Entrance,,Forced Air,Brick,,,,2.0,2.0,,,,,,,5250.71,2023.0,,,,,,212890243.0,Davenport Rd & Dovercourt Rd,Toronto W02,,,,https://matthewfernandes.ca/386-westmoreland-ave-n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,,,,,,,,,,,4.0,Municipal,,Lane,0.0,PLAN M24 PT LOT 61,W,22.5,126.0,Feet,,,,,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6720161,-79.4353127
7,2199000,27 Wilmar Road,"['Foyer', 'Living', 'Dining', 'Family', 'Kitchen', 'Prim Bdrm', '2nd Br', '3rd Br', '4th Br', 'Rec', 'Office', 'Exercise']","['1.98 x 2.26', '3.23 x 6.38', '3.00 x 3.84', '3.34 x 4.60', '3.78 x 3.78', '4.04 x 6.27', '3.96 x 6.05', '3.78 x 5.56', '3.38 x 4.04', '4.47 x 6.02', '3.25 x 3.78', '3.20 x 6.60']","['Porcelain Floor, Double Closet, Crown Moulding', 'Open Concept, Electric Fireplace, Pot Lights', 'Combined W/Living, Hardwood Floor, Crown Moulding', 'W/O To Deck, Gas Fireplace, B/I Shelves', 'Breakfast Bar, Granite Counter, Skylight', 'W/I Closet, 5 Pc Ensuite, Hardwood Floor', 'Double Closet, Hardwood Floor, Crown Moulding', 'Double Closet, Hardwood Floor, B/I Shelves', 'Semi Ensuite, Hardwood Floor, Crown Moulding', 'Heated Floor, Electric Fireplace, Above Grade Window', 'B/I Desk, Above Grade Window, Pot Lights', 'Sauna, Above Grade Window, Pot Lights']",Sale,Detached,2-Storey,,Toronto,Islington-City Centre West,4.0,1.0,4.0,1.0,8.0,Y,,,,Central Air,Y,,,,Finished,,Forced Air,Stucco/Plaster,Attached,,,4.0,6.0,,,,,,,8490.48,2024.0,,,,,,75420054.0,Bloor St W/Shaver Ave,Toronto W08,,,,https://27wilmarmls.kbteamstories.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,Inground,,,,,,Fenced Yard,,,,2.0,Municipal,,Pvt Double,2.0,"PT LT 8,  PL 3486,  AS IN EB256046; ETOBICOKE,  CITY OF TORONTO",E,54.0,139.0,Feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6378071,-79.54333609999999
8,5845000,43 Bernard Avenue,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br', '3rd Br', 'Rec', 'Br']","['5.28 x 5.29', '4.26 x 5.29', '3.16 x 5.58', '5.34 x 9.77', '3.58 x 5.34', '5.34 x 5.52', '4.86 x 9.56', '5.17 x 5.25']","['Hardwood Floor, Gas Fireplace, W/O To Garden', 'Hardwood Floor, Coffered Ceiling, Pot Lights', 'Hardwood Floor, Stainless Steel Appl, Centre Island', 'Hardwood Floor, 6 Pc Ensuite, W/I Closet', 'Hardwood Floor, 4 Pc Ensuite, W/O To Balcony', 'Hardwood Floor, 3 Pc Bath, Skylight', 'Concrete Floor, Pot Lights, Above Grade Window', 'Concrete Floor, 3 Pc Bath, Closet']",Sale,Detached,2 1/2 Storey,,Toronto,Annex,3.0,1.0,5.0,1.0,6.0,N,,,,Central Air,Y,,,,Finished,,Forced Air,Brick,,,,1.0,1.0,,,,,,,21501.59,2024.0,,,,,,,Avenue Rd/Davenport,Toronto C02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,,,,,,,,,,,2.0,Municipal,,Other,0.0,PLAN 369 PT LOT 12 PT LOT 13,S,23.0,122.0,Feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6733753,-79.39840310000001
9,4395000,151 Yonge Boulevard,"['Living', 'Dining', 'Kitchen', 'Breakfast', 'Family', 'Office', 'Prim Bdrm', '2nd Br', '3rd Br', '4th Br', 'Rec', 'Br']","['4.44 x 6.43', '4.34 x 4.88', '4.22 x 5.08', '2.08 x 4.44', '3.76 x 6.55', '3.12 x 3.28', '4.27 x 7.67', '3.33 x 5.64', '3.63 x 5.87', '3.23 x 4.72', '6.50 x 6.76', '3.88 x 3.86']","['2 Way Fireplace, Skylight, Hardwood Floor', 'Open Concept, Formal Rm, Hardwood Floor', 'B/I Appliances, Centre Island, Heated Floor', 'Combined W/Kitchen, W/O To Deck, Heated Floor', '2 Way Fireplace, O/Looks Backyard, Hardwood Floor', 'B/I Bookcase, Large Window, Hardwood Floor', 'Ensuite Bath, 2 Way Fireplace, Hardwood Floor', 'Ensuite Bath, W/O To Balcony, Hardwood Floor', 'Semi Ensuite, Large Window, Hardwood Floor', 'Semi Ensuite, Double Closet, Hardwood Floor', 'W/O To Pool, Networked, Heated Floor', 'Ensuite Bath, Above Grade Window, Heated Floor']",Sale,Detached,2-Storey,3500-5000,Toronto,Bedford Park-Nortown,4.0,1.0,5.0,1.0,10.0,Y,,,,Central Air,Y,,,,Full,,Forced Air,Brick,Built-In,,,4.0,6.0,,,,,,,22324.1,2024.0,,,,,,,Yonge Blvd and Wilson,Toronto C04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewers,,Inground,,,,,,,6-15,,,4.0,Municipal,,Private,2.0,"LOT 73 PLAN 2391; NORTH YORK,  CITY OF TORONTO",E,50.0,140.0,Feet,,,,,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.73876629999999,-79.4119994
