,price,address,mls,sqft,Community,beds,baths,Building Type,Air Conditioning,Heating Type,lat,long,Frontage,Land Depth,no amenity,gym,pool,party room,security,parking,balcony,indoor pool,recreation,sauna,storage - locker,guest suites,outdoor pool,bbqs allowed,bike storage,carpet free,in suite laundry,media room,tennis court,car wash,squash/racquet court
0,888000.0,"1515 - 8 HILLCREST AVENUEToronto (Willowdale East), Ontario M2N3N5",C10650046,1099.5,Willowdale East,3.0,2.0,Apartment,Central air conditioning,Forced air (Natural gas),43.7679369,-79.4121605,,,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,639000.0,"1502 - 10 YORK STREETToronto (Waterfront Communities), Ontario M5J2L9",C10640404,549.5,Waterfront Communities C1,1.0,1.0,Apartment,Central air conditioning,Forced air (Natural gas),43.6411454,-79.38131249999999,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,399900.0,"708 - 60 TOWN CENTRE COURTToronto (Bendale), Ontario M1P0B1",E10541395,649.5,Bendale,2.0,1.0,Apartment,Central air conditioning,Forced air (Natural gas),43.7734076,-79.2561255,,,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,855000.0,"506 - 12 REAN DRIVEToronto (Bayview Village), Ontario M2K3C6",C10511289,1299.5,Bayview Village,2.0,2.0,Apartment,Central air conditioning,Forced air (Natural gas),43.7666713,-79.3832156,,,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
4,2749000.0,"12 EUCLID AVENUEToronto (Highland Creek), Ontario M1C1J6",E10477077,4250.0,Highland Creek,4.0,6.5,Detached,Central air conditioning,Forced air (Natural gas),43.7941925,-79.1739661,50.666666666666664,148 ft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,2249000.0,"75 KENILWORTH AVENUEToronto (The Beaches), Ontario M4L3S4",E10477061,1750.0,The Beaches,4.0,5.5,Detached,Central air conditioning,Forced air (Natural gas),43.668164,-79.30104949999999,25.0,115 ft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,849900.0,"1603 - 10 YONGE STREETToronto (Waterfront Communities), Ontario M5E1R4",C10477072,949.5,Waterfront Communities C1,2.0,2.0,Apartment,Central air conditioning,Forced air (Natural gas),43.6424869,-79.37541740000002,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,599900.0,"2191 YONGE STREETToronto (Mount Pleasant West), Ontario M4S3H8",C10477067,649.5,Mount Pleasant West,1.0,1.0,,Central air conditioning,Forced air (Natural gas),43.7056569,-79.3974547,,,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,648800.0,"502 - 5 CONCORDE PLACEToronto (Banbury-Don Mills), Ontario M3C3M8",C10477051,1099.5,Banbury-Don Mills,2.0,2.0,Apartment,Central air conditioning,Forced air (Electric),43.729872,-79.3272799,,,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,610000.0,"201 - 11 NEILSON DRIVEToronto (Markland Wood), Ontario M9C1V4",W10477042,1099.5,Markland Wood,3.0,2.5,Apartment,,Radiant heat (Natural gas),43.6280022,-79.5619407,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,499900.0,"505 - 2 RIDELLE AVENUEToronto (Forest Hill North), Ontario M6B1H4",C9348290,549.5,Forest Hill North,1.0,1.0,Apartment,,Radiant heat (Natural gas),43.70730529999999,-79.4273147,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,375000.0,"407 - 235 GRANDRAVINE DRIVEToronto (Glenfield-Jane Heights), Ontario M3N1J2",W10477032,649.5,Glenfield-Jane Heights,1.0,1.0,Apartment,,Radiant heat (Natural gas),43.748583,-79.5059285,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
