,Neighbourhood,Type,Count
0,Agincourt North,Condo Apt,8
1,Agincourt North,Condo Townhouse,3
2,Agincourt North,Detached,16
3,Agincourt South-Malvern West,Condo Apt,12
4,Agincourt South-Malvern West,Detached,18
5,Agincourt South-Malvern West,Land,1
6,Agincourt South-Malvern West,Semi-Detached,1
7,Alderwood,Co-Op Apt,2
8,Alderwood,Condo Townhouse,2
9,Alderwood,Detached,28
10,Annex,Condo Apt,25
11,Annex,Condo Townhouse,1
12,Annex,Detached,8
13,Annex,Freehold Townhouse,3
14,Annex,Semi-Detached,3
15,Avondale,Condo Apt,14
16,Avondale,Condo Townhouse,5
17,Avondale,Detached,12
18,Banbury-Don Mills,Co-Ownership Apt,1
19,Banbury-Don Mills,Condo Apt,20
20,Banbury-Don Mills,Detached,35
21,Banbury-Don Mills,Freehold Townhouse,3
22,Bathurst Manor,Condo Apt,10
23,Bathurst Manor,Detached,14
24,Bathurst Manor,Link,2
25,Bay-Cloverhill,Condo Apt,19
26,Bay-Cloverhill,Freehold Townhouse,1
27,Bayview Village,Condo Apt,40
28,Bayview Village,Condo Townhouse,6
29,Bayview Village,Detached,27
30,Bayview Woods-Steeles,Condo Apt,3
31,Bayview Woods-Steeles,Condo Townhouse,2
32,Bayview Woods-Steeles,Detached,15
33,Bayview Woods-Steeles,Semi-Detached,3
34,Bedford Park-Nortown,Condo Apt,6
35,Bedford Park-Nortown,Detached,43
36,Beechborough-Greenbrook,Condo Townhouse,1
37,Beechborough-Greenbrook,Detached,6
38,Bendale South,Detached,15
39,Bendale-Glen Andrew,Condo Apt,9
40,Bendale-Glen Andrew,Condo Townhouse,4
41,Bendale-Glen Andrew,Detached,9
42,Bendale-Glen Andrew,Semi-Detached,2
43,Birchcliffe-Cliffside,Condo Apt,5
44,Birchcliffe-Cliffside,Detached,44
45,Birchcliffe-Cliffside,Investment,1
46,Birchcliffe-Cliffside,Semi-Detached,1
47,Black Creek,Condo Apt,4
48,Black Creek,Condo Townhouse,1
49,Black Creek,Detached,5
50,Black Creek,Semi-Detached,1
51,Blake-Jones,Condo Apt,3
52,Blake-Jones,Condo Townhouse,2
53,Blake-Jones,Detached,7
54,Blake-Jones,Freehold Townhouse,1
55,Blake-Jones,Semi-Detached,3
56,Briar Hill-Belgravia,Condo Apt,2
57,Briar Hill-Belgravia,Detached,11
58,Bridle Path-Sunnybrook-York Mills,Condo Apt,2
59,Bridle Path-Sunnybrook-York Mills,Detached,48
60,Broadview North,Condo Apt,2
61,Broadview North,Detached,13
62,Broadview North,Freehold Townhouse,1
63,Broadview North,Semi-Detached,1
64,Brookhaven-Amesbury,Condo Apt,9
65,Brookhaven-Amesbury,Condo/Apt Unit,1
66,Brookhaven-Amesbury,Detached,16
67,Caledonia-Fairbank,Detached,15
68,Casa Loma,Condo Apt,4
69,Casa Loma,Detached,21
70,Casa Loma,Semi-Detached,1
71,Centennial Scarborough,Detached,23
72,Centennial Scarborough,Freehold Townhouse,3
73,Centennial Scarborough,Investment,1
74,Centennial Scarborough,Semi-Detached,1
75,Church-Wellesley,Co-Ownership Apt,1
76,Church-Wellesley,Condo Apt,28
77,Clairlea-Birchmount,Condo Apt,1
78,Clairlea-Birchmount,Detached,26
79,Clairlea-Birchmount,Freehold Townhouse,6
80,Clairlea-Birchmount,Semi-Detached,2
81,Clanton Park,Condo Apt,11
82,Clanton Park,Detached,15
83,Cliffcrest,Detached,42
84,Cliffcrest,Freehold Townhouse,2
85,Cliffcrest,Semi-Detached,2
86,Corso Italia-Davenport,Detached,11
87,Corso Italia-Davenport,Semi-Detached,8
88,Danforth,Condo Apt,1
89,Danforth,Detached,8
90,Danforth,Freehold Townhouse,2
91,Danforth,Semi-Detached,7
92,Don Valley Village,Condo Apt,12
93,Don Valley Village,Detached,15
94,Dorset Park,Condo Apt,13
95,Dorset Park,Detached,13
96,Dovercourt Village,Condo Apt,2
97,Dovercourt Village,Detached,11
98,Dovercourt Village,Duplex,1
99,Dovercourt Village,Semi-Detached,2
100,Dovercourt Village,Triplex,2
101,Downsview,Condo Apt,7
102,Downsview,Condo Townhouse,1
103,Downsview,Detached,16
104,Downsview,Freehold Townhouse,1
105,Downtown Yonge East,Condo Apt,16
106,Downtown Yonge East,Condo Townhouse,3
107,Dufferin Grove,Detached,3
108,Dufferin Grove,Freehold Townhouse,3
109,Dufferin Grove,Semi-Detached,5
110,Dufferin Grove,Triplex,1
111,East L'Amoreaux,Condo Apt,6
112,East L'Amoreaux,Condo Townhouse,2
113,East L'Amoreaux,Detached,4
114,East L'Amoreaux,Freehold Townhouse,2
115,East Willowdale,Condo Apt,4
116,East Willowdale,Detached,42
117,East Willowdale,Freehold Townhouse,1
118,Edenbridge-Humber Valley,Co-Op Apt,1
119,Edenbridge-Humber Valley,Condo Apt,18
120,Edenbridge-Humber Valley,Detached,19
121,Eglinton East,Condo Townhouse,1
122,Eglinton East,Detached,8
123,Elms-Old Rexdale,Condo Apt,2
124,Elms-Old Rexdale,Condo Townhouse,1
125,Elms-Old Rexdale,Detached,7
126,Englemount-Lawrence,Condo Apt,7
127,Englemount-Lawrence,Detached,12
128,Eringate-Centennial-West Deane,Condo Apt,4
129,Eringate-Centennial-West Deane,Condo Townhouse,2
130,Eringate-Centennial-West Deane,Detached,13
131,Etobicoke City Centre,Condo Apt,39
132,Etobicoke City Centre,Condo Townhouse,4
133,Etobicoke City Centre,Detached,6
134,Etobicoke City Centre,Freehold Townhouse,1
135,Etobicoke City Centre,Semi-Detached,1
136,Etobicoke West Mall,Condo Apt,10
137,Etobicoke West Mall,Condo Townhouse,1
138,Etobicoke West Mall,Detached,4
139,Fenside-Parkwoods,Condo Apt,4
140,Fenside-Parkwoods,Detached,2
141,Fenside-Parkwoods,Semi-Detached,4
142,Flemingdon Park,Condo Apt,8
143,Flemingdon Park,Condo Townhouse,1
144,Forest Hill North,Detached,6
145,Forest Hill South,Co-Ownership Apt,1
146,Forest Hill South,Condo Apt,6
147,Forest Hill South,Detached,36
148,Fort York-Liberty Village,Condo Apt,47
149,Fort York-Liberty Village,Condo Townhouse,5
150,Fort York-Liberty Village,Condo/Apt Unit,1
151,Glenfield-Jane Heights,Condo Apt,3
152,Glenfield-Jane Heights,Detached,2
153,Glenfield-Jane Heights,Semi-Detached,5
154,Golfdale-Cedarbrae-Woburn,Condo Apt,4
155,Golfdale-Cedarbrae-Woburn,Detached,25
156,Greenwood-Coxwell,Condo Apt,3
157,Greenwood-Coxwell,Detached,12
158,Greenwood-Coxwell,Freehold Townhouse,1
159,Greenwood-Coxwell,Semi-Detached,8
160,Guildwood,Condo Apt,1
161,Guildwood,Condo Townhouse,3
162,Guildwood,Detached,14
163,Harbourfront-CityPlace,Condo Apt,50
164,Henry Farm,Condo Apt,35
165,Henry Farm,Condo Townhouse,2
166,Henry Farm,Detached,2
167,Henry Farm,Parking Space,1
168,High Park North,Condo Apt,6
169,High Park North,Condo/Apt Unit,2
170,High Park North,Detached,8
171,High Park North,Semi-Detached,3
172,High Park-Swansea,Condo Apt,13
173,High Park-Swansea,Detached,16
174,Highland Creek,Detached,25
175,Highland Creek,Freehold Townhouse,1
176,Hillcrest Village,Condo Apt,3
177,Hillcrest Village,Condo Townhouse,2
178,Hillcrest Village,Detached,12
179,Hillcrest Village,Semi-Detached,2
180,Humber Bay Shores,Condo Apt,34
181,Humber Bay Shores,Condo Townhouse,2
