field,name
_id1,_id
AREA_NA2,AREA_NAME
HOOD_ID3,HOOD_ID
POPULAT4,POPULATION_2023
ASSAULT5,ASSAULT_2014
ASSAULT6,ASSAULT_2015
ASSAULT7,ASSAULT_2016
ASSAULT8,ASSAULT_2017
ASSAULT9,ASSAULT_2018
ASSAULT10,ASSAULT_2019
ASSAULT11,ASSAULT_2020
ASSAULT12,ASSAULT_2021
ASSAULT13,ASSAULT_2022
ASSAULT14,ASSAULT_2023
ASSAULT15,ASSAULT_RATE_2014
ASSAULT16,ASSAULT_RATE_2015
ASSAULT17,ASSAULT_RATE_2016
ASSAULT18,ASSAULT_RATE_2017
ASSAULT19,ASSAULT_RATE_2018
ASSAULT20,ASSAULT_RATE_2019
ASSAULT21,ASSAULT_RATE_2020
ASSAULT22,ASSAULT_RATE_2021
ASSAULT23,ASSAULT_RATE_2022
ASSAULT24,ASSAULT_RATE_2023
AUTOTHE25,AUTOTHEFT_2014
AUTOTHE26,AUTOTHEFT_2015
AUTOTHE27,AUTOTHEFT_2016
AUTOTHE28,AUTOTHEFT_2017
AUTOTHE29,AUTOTHEFT_2018
AUTOTHE30,AUTOTHEFT_2019
AUTOTHE31,AUTOTHEFT_2020
AUTOTHE32,AUTOTHEFT_2021
AUTOTHE33,AUTOTHEFT_2022
AUTOTHE34,AUTOTHEFT_2023
AUTOTHE35,AUTOTHEFT_RATE_2014
AUTOTHE36,AUTOTHEFT_RATE_2015
AUTOTHE37,AUTOTHEFT_RATE_2016
AUTOTHE38,AUTOTHEFT_RATE_2017
AUTOTHE39,AUTOTHEFT_RATE_2018
AUTOTHE40,AUTOTHEFT_RATE_2019
AUTOTHE41,AUTOTHEFT_RATE_2020
AUTOTHE42,AUTOTHEFT_RATE_2021
AUTOTHE43,AUTOTHEFT_RATE_2022
AUTOTHE44,AUTOTHEFT_RATE_2023
BIKETHE45,BIKETHEFT_2014
BIKETHE46,BIKETHEFT_2015
BIKETHE47,BIKETHEFT_2016
BIKETHE48,BIKETHEFT_2017
BIKETHE49,BIKETHEFT_2018
BIKETHE50,BIKETHEFT_2019
BIKETHE51,BIKETHEFT_2020
BIKETHE52,BIKETHEFT_2021
BIKETHE53,BIKETHEFT_2022
BIKETHE54,BIKETHEFT_2023
BIKETHE55,BIKETHEFT_RATE_2014
BIKETHE56,BIKETHEFT_RATE_2015
BIKETHE57,BIKETHEFT_RATE_2016
BIKETHE58,BIKETHEFT_RATE_2017
BIKETHE59,BIKETHEFT_RATE_2018
BIKETHE60,BIKETHEFT_RATE_2019
BIKETHE61,BIKETHEFT_RATE_2020
BIKETHE62,BIKETHEFT_RATE_2021
BIKETHE63,BIKETHEFT_RATE_2022
BIKETHE64,BIKETHEFT_RATE_2023
BREAKEN65,BREAKENTER_2014
BREAKEN66,BREAKENTER_2015
BREAKEN67,BREAKENTER_2016
BREAKEN68,BREAKENTER_2017
BREAKEN69,BREAKENTER_2018
BREAKEN70,BREAKENTER_2019
BREAKEN71,BREAKENTER_2020
BREAKEN72,BREAKENTER_2021
BREAKEN73,BREAKENTER_2022
BREAKEN74,BREAKENTER_2023
BREAKEN75,BREAKENTER_RATE_2014
BREAKEN76,BREAKENTER_RATE_2015
BREAKEN77,BREAKENTER_RATE_2016
BREAKEN78,BREAKENTER_RATE_2017
BREAKEN79,BREAKENTER_RATE_2018
BREAKEN80,BREAKENTER_RATE_2019
BREAKEN81,BREAKENTER_RATE_2020
BREAKEN82,BREAKENTER_RATE_2021
BREAKEN83,BREAKENTER_RATE_2022
BREAKEN84,BREAKENTER_RATE_2023
HOMICID85,HOMICIDE_2014
HOMICID86,HOMICIDE_2015
HOMICID87,HOMICIDE_2016
HOMICID88,HOMICIDE_2017
HOMICID89,HOMICIDE_2018
HOMICID90,HOMICIDE_2019
HOMICID91,HOMICIDE_2020
HOMICID92,HOMICIDE_2021
HOMICID93,HOMICIDE_2022
HOMICID94,HOMICIDE_2023
HOMICID95,HOMICIDE_RATE_2014
