School Name,"Total # of
Students","# of
Participating
Students","# of
Students at
Levels 3/4","% at Levels
3/4"
Province,70279,66805,34954,52%
TDSB,7512,6832,3606,53%
A Y Jackson Secondary School,112,103,96,93%
Agincourt Collegiate Institute,184,172,125,73%
Albert Campbell Collegiate Institute,169,158,100,63%
Birchmount Park Collegiate Institute,104,87,28,32%
Bloor Collegiate Institute,78,75,59,79%
C W Jefferys Collegiate Institute,84,73,14,19%
Cedarbrae Collegiate Institute,120,114,59,52%
Central Technical School,30,28,8,29%
Central Toronto Academy,68,50,22,44%
"Danforth Collegiate and Technical
Institute",180,169,89,53%
"David and Mary Thomson Collegiate
Institute",125,105,20,19%
Don Mills Collegiate Institute,116,103,63,61%
Downsview Secondary School,24,22,0,0%
Dr Norman Bethune Collegiate Institute,132,123,100,81%
Earl Haig Secondary School,207,171,116,68%
East York Collegiate Institute,106,95,27,28%
