School Name,EQAO % at Levels 3/4
A Y Jackson Secondary School,93.0
Agincourt Collegiate Institute,73.0
Albert Campbell Collegiate Institute,63.0
Birchmount Park Collegiate Institute,32.0
Bloor Collegiate Institute,79.0
C W Jefferys Collegiate Institute,19.0
Cedarbrae Collegiate Institute,52.0
Central Technical School,29.0
Central Toronto Academy,44.0
"Danforth Collegiate and Technical
Institute",53.0
"David and Mary Thomson Collegiate
Institute",19.0
Don Mills Collegiate Institute,61.0
Downsview Secondary School,0.0
Dr Norman Bethune Collegiate Institute,81.0
Earl Haig Secondary School,68.0
East York Collegiate Institute,28.0
Etobicoke Collegiate Institute,63.0
Etobicoke School of the Arts,72.0
Forest Hill Collegiate Institute,65.0
"George Harvey Collegiate Institute
(Consolidated to York Memorial CI from
Sept. 2022)",11.0
George S Henry Academy,34.0
Georges Vanier Secondary School,37.0
Greenwood Secondary School,34.0
Harbord Collegiate Institute,63.0
Heydon Park Secondary School,
Humberside Collegiate Institute,69.0
Jarvis Collegiate Institute,36.0
John Polanyi Collegiate Institute,33.0
Kipling Collegiate Institute,22.0
Lakeshore Collegiate Institute,51.0
L'Amoreaux Collegiate Institute,33.0
Lawrence Park Collegiate Institute,74.0
Leaside High School,71.0
Lester B Pearson Collegiate Institute,38.0
Malvern Collegiate Institute,74.0
Marc Garneau Collegiate Institute,37.0
Martingrove Collegiate Institute,50.0
Monarch Park Collegiate Institute,63.0
Native Learning Centre East,
Newtonbrook Secondary School,43.0
North Albion Collegiate Institute,15.0
North Toronto Collegiate Institute,61.0
Northern Secondary School,67.0
Parkdale Collegiate Institute,59.0
R H King Academy,63.0
Richview Collegiate Institute,53.0
Riverdale Collegiate Institute,62.0
Rosedale Heights School of the Arts,59.0
Runnymede Collegiate Institute,30.0
SATEC @ WA Porter Collegiate Institute,60.0
Silverthorn Collegiate Institute,51.0
"Sir John A Macdonald Collegiate
Institute",60.0
Sir Oliver Mowat Collegiate Institute,37.0
Sir Wilfrid Laurier Collegiate Institute,51.0
Stephen Leacock Collegiate Institute,35.0
Thistletown Collegiate Institute,6.0
Ursula Franklin Academy,87.0
Victoria Park Collegiate Institute,67.0
West Hill Collegiate Institute,27.0
West Humber Collegiate Institute,40.0
Western Technical-Commercial School,55.0
Weston Collegiate Institute,28.0
Westview Centennial Secondary School,11.0
Wexford Collegiate School for the Arts,42.0
"William Lyon Mackenzie Collegiate
Institute",72.0
Winston Churchill Collegiate Institute,20.0
Woburn Collegiate Institute,59.0
York Memorial Collegiate Institute,33.0
York Mills Collegiate Institute,71.0
