School Name,Fraiser Score
A Y Jackson,7.9
Agincourt,8.3
Albert Campbell,7.0
Archbishop Romero,1.7
Birchmount Park,5.2
Bishop Allen,8.0
Bishop Marrocco/Thomas Merton,3.8
Blessed Mother Teresa,3.9
Bloor,8.5
Brebeuf,6.1
C W Jefferys,3.9
Cardinal Carter-Arts,8.9
Cardinal Newman,5.3
Cedarbrae,5.4
Central,2.7
Central Commerce,7.0
Chaminade,5.6
Collège Français,7.8
Danforth,6.0
Dante Alighieri,3.1
David and Mary Thomson,3.9
Don Mills,7.4
Downsview,1.3
Dr Norman Bethune,7.4
Earl Haig,7.9
East York,5.1
Emery,2.4
Etobicoke,7.3
Etobicoke-Arts,8.6
Father Henry Carr,4.1
Father John Redmond,7.8
Forest Hill,6.9
Francis Libermann,6.1
George Harvey,2.2
George S Henry,5.5
Georges Vanier,5.6
Harbord,8.3
Humberside,8.5
James Cardinal McGuigan,4.4
Jarvis,5.1
Jean Vanier,4.1
John Polanyi,5.5
Kipling,1.8
L'Amoreaux,4.8
Lakeshore,4.9
Lawrence Park,8.7
Leaside,8.8
Lester B Pearson,6.1
Loretto,5.6
Loretto Abbey,7.6
Madonna,4.4
Malvern,8.6
Marc Garneau,4.8
Marshall McLuhan,7.1
Martingrove,7.0
Mary Ward,8.0
Michael Power/St. Joseph,7.5
Monarch Park,7.7
Monseigneur-de-Charbonnel,6.4
Monsignor Percy Johnson,4.5
Neil McNeil,7.3
Newtonbrook,3.4
North Albion,4.6
North Toronto,9.1
Northern,7.7
Northview Heights,6.8
Notre Dame,7.9
Oakwood,6.5
Parkdale,7.0
Philippe-Lamarche,5.8
Pope John Paul II,6.7
R H King,7.4
Richview,7.5
Riverdale,8.2
Rosedale Heights-Arts,8.3
Runnymede,5.2
Senator O'Connor,7.2
Silverthorn,6.0
Sir John A Macdonald,6.9
Sir Oliver Mowat,6.9
Sir Wilfrid Laurier,6.1
St. Basil The Great,3.7
St. Joseph's,8.1
St. Josephs Morrow Park,6.4
St. Mary's,4.6
St. Patrick,6.1
St.-Frère-André,7.2
Stephen Leacock,4.7
Thistletown,3.9
Toronto Ouest,8.5
Ursula Franklin,9.3
Victoria Park,6.1
W A Porter,7.5
West Hill,4.7
West Humber,5.7
Western,6.8
Weston,4.5
Westview Centennial,1.4
Wexford Collegiate-Arts,6.6
William Lyon Mackenzie,8.4
Winston Churchill,3.4
Woburn,6.9
York Memorial,6.7
York Mills,8.3
Étienne-Brûlé,6.7
