price,address,mls,Calculated_sqft,Square Footage
550000,704 - 1990 Bloor Street W,W11238277,249.5,
635000,104 - 95 La Rose Avenue,W11237359,1099.5,
1895000,612 - 1 Strathgowan Avenue,C11238266,1099.5,
499000,1107 - 68 Shuter Street,C11238058,549.5,
777777,2701 - 65 St Mary Street,C11236562,549.5,
1299999,95 Grovedale Avenue,W11237401,1750.6170154199997,
1539000,131 Maplewood Avenue,C11236209,1467.95269586,
468000,806 - 4091 Sheppard Avenue E,E11231745,949.5,
689000,705 - 181 Wynford Drive W,C11234846,1099.5,
650000,303 - 501 St Clair Avenue W,C11230318,849.5,
988800,18 Corundum Crescent,E11229061,1312.2959379599995,
12990000,101 Dunloe Road,C11228279,5000.0,
999000,47 Chapman Avenue,E11228269,1402.76867024,
689000,1809 - 20 Meadowglen Place,E11228267,849.5,
1399000,40 Stanley Greene Boulevard,W11228250,3250.0,
1088000,58 Mansfield Avenue,C11228220,1300.0,
698000,409 - 160 Canon Jackson Drive,W11228227,849.5,
424786,703 - 320 Dixon Road,W11227022,949.5,
699990,2304 - 20 Tubman Avenue,C11228237,749.5,
565000,1105 - 99 Foxbar Road,C11228233,249.5,
514000,326 - 38 Monte Kwinter Court,C11226486,549.5,
950000,776 Danforth Road,E11225959,14529.047636599998,
750000,511 - 1100 Sheppard Avenue W,W11225560,649.5,
599000,2408 - 125 Village Green Square,E11225903,749.5,
650000,PH3602 - 70 Town Centre Court,E11225034,1099.5,
399900,106 - 60 Pavane Linkway Way,C11224506,849.5,
2879000,11 Ottawa Street,C11223657,1340.57485604,
1524900,242 Castlefield Avenue,C11221058,1016.5771604800002,
756000,3104 - 395 Bloor Street E,C11219556,749.5,
2949800,159 Brunswick Avenue,C11215742,1927.01365584,
1588000,413 - 201 Carlaw Avenue,E11215735,1299.5,
1080000,3411 - 1 Yorkville Avenue,C11215734,749.5,
599000,3504 - 36 Park Lawn Road,W11215729,549.5,
2199000,27 Wilmar Road,W11047391,2266.12171422,
5845000,43 Bernard Avenue,C11047417,2609.91529827,
4395000,151 Yonge Boulevard,C11046995,4250.0,
1650000,228 Westmoreland Avenue,W11046662,2250.0,
1499000,136 Anthony Road,W10993146,1757.99782165,
4898000,5 Cranleigh Court,W10957537,3607.25629306,
975000,16 Datchet Road,W10932338,1322.9145253099998,
1550000,81 Randolph Road,C10932766,900.0,
1699000,357 Fairlawn Avenue,C10931779,1300.0,
4095000,90 Chatsworth Drive,C10930082,4250.0,
3198000,326 Joicey Boulevard,C10929968,3204.3807383,
2749000,48 Lanark Avenue,C10929868,4250.0,
810000,57 Saddle Ridge Drive,C10929839,1094.1472058299998,
1599000,243 Johnston Avenue,C10929742,1037.24707765,
999000,79 Cuffley Crescent S,W10929735,1845.2876687,
949888,55 Plumbrook Crescent N,E10929731,819.9034852399999,
1629000,109 Pauline Avenue,W10929715,1300.0,
998000,76 Amanda Drive,E10929682,1170.89166005,
2590000,38 Citation Drive,C10929686,2192.79802742,
879000,1040 Kennedy Road,E10929667,900.0,
888000,1 Pakenham Drive,W10929630,1706.67124089,
1190000,10 Via Cassia Drive,W10929502,1070.20506306,
699000,25 Foxwell Street,W10929437,741.5422932399999,
2135000,39A Evans Avenue,W10929394,2750.0,
1188888,40 Axsmith Crescent,C10929564,1538.80822039,
1599000,76A Amsterdam Avenue,E10929556,2250.0,
5895000,149 Dinnick Crescent,C10929519,2783.867457,
799900,37 Allister Avenue,E10929616,1325.78741022,
999800,4010 Ellesmere Road,E10929318,942.83260519,
1298000,6 Shallowford Court,E10884900,1710.65388389,
2795000,57 Ridge Hill Drive,C10929319,2371.71342044,
1199000,16 Benway Drive,W10929305,1494.4265079099998,
2599000,31 Shaver Avenue S,W10929182,3250.0,
1568000,110 Leyton Avenue,E10929128,2250.0,
3799000,112 Mason Boulevard,C10929142,2250.0,
2502888,231 Falstaff Avenue,W10929084,1774.4827345,
1498000,108 Caroline Avenue,E10929069,2250.0,
1888000,395 Morrish Road,E10928057,4250.0,
1799999,11 Northcote Avenue,C10927436,2750.0,
2188000,180 Lake Shore Drive,W10913018,2043.8385681,
1989000,278 Euclid Avenue,C10893790,1750.0,
2495000,84 Bannatyne Drive,C10893787,1810.2823895100005,
935000,147 Hope Street,W10887677,964.8975237999998,
2350000,3 Lake Shore Drive,W10884946,2250.0,
1777888,14 Downpatrick Crescent,W10884881,3104.4077878799994,
4195000,6 Versailles Court,C10884919,2998.4608729600004,
1199998,27 Crendon Drive,W10884903,16494.10629699,
1988000,374 Woburn Avenue,C10884122,1557.21448939,
839900,55 Laurel Avenue,E10924779,1240.56961392,
1800000,261 Winona Drive,C10875180,1750.0,
1399999,56 Deerbrook Trail,E10875121,2200.786994,
1098000,70 Keegan Crescent,W10875162,1750.0,
3899000,37 Kenilworth Avenue,E10875090,2750.0,
8295000,88 Binscarth Road,C10874912,2532.61327403,
2128000,33 Hopperton Drive,C10874839,1230.35574921,
1648800,18 Brill Crescent,C10874827,2190.49562921,
7488000,24 York Valley Crescent,C10874824,5000.0,
1199900,97 29th Street,W10874756,857.1896348399999,
1350000,75 Seventeenth Street,W10874704,1483.4441007399998,
1138000,69 Moorehouse Drive,E10845501,928.9041185899998,
999000,35 Wallington Avenue,E10845378,1179.2562867399995,
1380000,6 Wyndcliff Crescent,C10710236,1890.81035458,
1199000,140 Porchester Dr Drive,E10707880,1541.4141605799996,
1099000,22 Beran Drive,E10707729,1376.43586528,
899900,69 Beechborough Avenue,W10707718,900.0,
2388000,603 Spadina Road,C10707707,1241.3747536399997,
1559000,51 Tromley Drive,W10514116,1554.56656999,
2749000,12 Euclid Avenue,E10477077,4250.0,
1199000,55 Sellmar Road,W10463665,1771.2987728799997,
1688000,109 Mckee Avenue,C10453512,1348.29795429,
900000,44 Ladysbridge Drive,E10442857,1300.0,
1274900,48 Westbrook Avenue,E10442840,1300.0,
899900,230 Gilbert Avenue,W10442514,900.0,
998000,869 Scarborough Golf Club Road,E10442548,1584.4557675099998,
1790000,203 Mckee Avenue,C10442522,2250.0,
997500,31 Bulbourne Road,W10442518,1461.50619615,
1199888,2 Delbasso Court,W10441868,1300.0,
1999999,183 Atlas Avenue,C10441838,1413.5131952199995,
3980000,40 Munro Boulevard,C10441822,2570.7142508600004,
1799900,96 King High Avenue,C10441760,1660.8181032800003,
5299000,277 Indian Road,W10441746,3097.42094039,
2895000,42 Waverley Road,E10441630,1938.08540338,
1149000,16 Lockerbie Avenue,W10441611,1128.82633885,
1499000,26 Saybrook Avenue,W10441609,1300.0,
1599000,103 Holcolm Road,C10441469,1300.0,
980000,27 Manorwood Road,E10441356,2447.74207531,
999000,412 Valermo Drive,W10441259,1300.0,
1399000,50 Bain Avenue,E10441208,1090.167792,
1049000,3 Paragon Road,W10441161,1591.31883015,
1589000,265 Hastings Avenue,E10441028,2131.9486243300003,
799999,739 Vaughan Road,C10440982,477.09264526,
1399000,2 Norcross Road,C10440955,1589.58153669,
979000,14 Gray Avenue,W10441029,891.10883652,
999999,15 Stock Avenue,W10440802,900.0,
1098000,322 East Avenue,E10440712,1869.87456908,
2775000,59 Montressor Drive,C10440953,2259.4793115299994,
