price,address,rooms,room dimensions,room_properties,Status,Type,Style,Size (sq ft),Age,Retirement,Area,Community,Bedrooms,Bathrooms,Kitchens,Rooms,Den/Family Room,Patio Terrace,Unit Exposure,Air Conditioning,Fireplace,Handicap Equipped,Pets,Stories,Basement,Energy Certificate,Heating,UFFI,Exterior,Garage,Parking Designation,Parking Features,Parking Places,Parking Total,Lockers,Maintenance,Taxes,Tax Year,Building Insurance Included,Common Elements Included,Water Included,Parcel Number,Cross Street,Municipality District,Condo Corporation,Corporation Number,Property Management,Virtual Tour,Ensuite Laundry,Laundry,Green PIS,Central A/C Included,Parking Included,Amenity,Feature,Bedrooms Plus,Rooms Plus,Parking Space,Parking Description,Locker Number,Heating Included,Transaction Type,Property Type,Attachment,Ownership,MLS®#,Bedrooms Above Ground,Foundation,Heating Fuel,Cooling,Total Stories,Parking Space (A),Parking Spaces (Total),Maintenance Fee,Payment Frequency,Water,Sewer,Location Description,Community Name,Acres,Video,Size (Interior),Bedrooms Below Ground,Half Bathrooms,Fireplaces (Total),Flooring,Appliances,Basement Status,Basement Features,Fire Protection,Building Amenities,Size,Landscape Features,Size Irregular,Depth,Size (Frontage),Elevator,Zoning,Land Amenties,Lot Features,Fence,Zoning Description,Utility,Utility Decription,View,Power,Surface Water,Locker Level,Taxes Included,Hydro Included,Cable Included,Structure,Split Level,Community Features,Exterior Features,Locker Quantity,Construction Material,Storage,Parking Space (B),Parking Space (C),Access,Pool,Assessment,Assesment Year,Water supply,Kitchens Plus,Driveway,Covered Parking Places,Tax Legal Description,Fronting On,Frontage,Lot Depth,Lot Size Units,Share Percentage,Water Supply,Electricity,Gas,Cable,Telephone,Parcel of Tied Land,Waterfront,Lot Irregularities,Open House Date,Open House Start,Open House Finished,Waterfront Features,Shore Allow,Shoreline Exposure,Additional Monthly Fee,Open House From,Office Area Units,Total Area,Total Area metric,Taxes Type,Utilities,Free Standing,Lot Code,List Price Type,Office Area,Water Body Name,Water Source,Certificate Level,Farm/Agriculture,Retail Area,Retail Area metric,Sprinklers,Business Type,Rail,Chattels Included,Expense Type,Financial Statement,Franchise,Area Influence,Ceil Height (ft),Survey,Building Area Total,Alternate MLSN umber,Building Area Source,RATIO Current Price By Above Grade Finished Area,Area Major,Region,Property Sub Type,Area Minor,Last Modified,Current Price,Survey Type,Common Interest,Postal Code,Full Bathrooms,Inclusions,Above Grade Finished Area Units,Above Grade Finished Area,Above Grade Finished Area Source,Kitchen Appliances,Window Features,Total Bathrooms,Main Level Bathrooms,Interior Features,Number Of 3 Piece Bathrooms,Baths On Level Basement Count,Roof,Construction,Room Kitchen Level,Building Area Units,Kitchens Above Grade,INumber Of 2 Piece Bathrooms,Number Of Rooms Above Grade,Baths On Level Second Count,Baths Total Rooms,Number Of 4 Piece Bathrooms,Beds On Level Second Count,Kitchens Total,Beds Above Grade,Number Of Rooms Below Grade,Driveway Parking,Open Parking Spaces,Covered Spaces,Attached Garage,Open Parking,Association Fee Frequency,Directions,FarmLandAreaUnits,Frontage Type �,Lot Size Dimensions,Acres Range,Orig_lp_cd,Doing Business As,Outside Storage,Percent Building,Soil Test,Com_cn_fee,Ceiling Height,Crane,Industrial Area,Industrial Area Units,Llbo,Central Vac
"$949,000",3 - 185 Carlton Street,"['Foyer', 'Living', 'Kitchen', 'Prim Bdrm']","['1.45 x 1.83', '5.03 x 6.41', '2.39 x 2.56', '4.43 x 4.12']","['Hardwood Floor, Closet', 'Fireplace', 'Stone Counter', 'Walk-Out']",Sale,Condo Apt,Loft,900-999,100+,N,Toronto,Cabbagetown-South St. James Town,1,1,1,4,Y,Terr,S,Wall Unit,Y,N,Restrict,2,None,N,Heat Pump,No,Brick,None,None,None,0,0.0,None,817.46,2839.70,2024,Y,Y,Y,121110003,CARLTON ST & SHERBOURNE ST,Toronto C08,MTCC,1111,MCD Property Management 905-728-7055,http://www.houssmax.ca/vtournb/c2254370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$629,900",1804 - 60 Town Centre Crescent,[],[],[],Sale,Condo Apt,Apartment,700-799,,,Toronto,Bendale,2,2,1,5,N,Open,Ne,Central Air,N,,Restrict,18,None,Y,Forced Air,,Concrete,Underground,Owned,Undergrnd,0,1.0,Owned,744.96,2025.47,2023,,Y,,,Mccowan/Ellesmere,Toronto E09,TSCC,2044,Duka Property Management,,Y,Ensuite,Y,Y,Y,Visitor Parking,Clear View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$619,800",847 - 151 Dan Leckie Way,"['Living', 'Dining', 'Kitchen', 'Den', 'Prim Bdrm', 'Laundry']","['3.00 x 3.12', '3.00 x 3.99', '3.00 x 3.99', '2.54 x 3.35', '2.77 x 3.73', '1.12 x 1.52']","['Laminate, East View, W/O To Balcony', 'Laminate, Combined W/Kitchen, Open Concept', 'Laminate, Combined W/Dining, Open Concept', 'Laminate, Mirrored Closet, Open Concept', 'Laminate, Double Closet', 'Ceramic Floor']",Sale,Condo Apt,Apartment,600-699,,,Toronto,Waterfront Communities C1,1,1,1,4,N,Open,N,Central Air,N,,Restrict,7,None,,Forced Air,,Concrete,Underground,Owned,Undergrnd,1,1.0,None,551.53,2567.88,2024,Y,Y,Y,,Spadina/Fort York,Toronto C01,TSCC,2301,Elite Property Management,,Y,Ensuite,,Y,Y,Indoor Pool,Public Transit,1,1,253,D,374,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,149,000",100 Bartley Drive,"['Primary Bedroom', 'Bedroom 2', 'Bedroom 3', 'Bedroom 4', 'Family room', 'Dining room', 'Kitchen']","['3.81 x 3.08', '2.89 x 3.69', '2.89 x 3.69', '2.74 x 3.69', '3.04 x 3.69', '3.04 x 2.8', '3.74 x 3.35']","['3.08 m x 3.81 m', '3.69 m x 2.89 m', '3.69 m x 2.89 m', '3.69 m x 2.74 m', '3.69 m x 3.04 m', '2.8 m x 3.04 m', '3.35 m x 3.74 m']",,,,,,,,,5,4,,,,,,,False,,,,,,Forced air,,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,For sale,Single Family,Attached,Freehold,C11181545,5,Concrete,Natural gas,Central air conditioning,3,Garage,1,148.63,Monthly,Municipal water,Sanitary sewer,EGLINTON AND VICTORIA PARK,Victoria Village,false,https://my.matterport.com/show/?m=MCxnsp6LdZd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,648,000",136 Church Avenue South,"['Primary Bedroom', 'Bedroom 2', 'Bedroom 3', 'Bedroom 4', 'Recreational, Games', 'Kitchen', 'Living room', 'Dining room', 'Kitchen', 'Family room']","['5.29 x 4.88', '5.29 x 3.05', '2.85 x 2.71', '3.42 x 2.75', '5.06 x 5.49', '5.06 x 5.49', '8.85 x 3.66', '8.85 x 3.66', '8.85 x 5.19', '8.85 x 5.19']","['4.88 m x 5.29 m', '3.05 m x 5.29 m', '2.71 m x 2.85 m', '2.75 m x 3.42 m', '5.49 m x 5.06 m', '5.49 m x 5.06 m', '3.66 m x 8.85 m', '3.66 m x 8.85 m', '5.19 m x 8.85 m', '5.19 m x 8.85 m']",,,,,,,,,4,5,,,,,,,True,,,,N/A (Finished),,Forced air,,"Brick,  Stone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,For sale,Single Family,Detached,Freehold,C11181107,3,Poured Concrete,Natural gas,Central air conditioning,2,Garage,3,,,Municipal water,Sanitary sewer,Finch/Willowdale,Willowdale East,false,https://app.cloudpano.com/tours/2qYJKVAs8,1999.983 - 2499.9795 sqft,1,1,2,Hardwood,"Water meter,  Cooktop,  Dishwasher,  Microwave,  Oven,  Refrigerator,  Stove,  Window Coverings",Finished,Walk out,Smoke Detectors,Fireplace(s),25 x 135.6 FT|under 1/2 acre,"Lawn sprinkler,  Landscaped",25 x 135.6 FT,"135 ft , 7 in",25 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$669,000",505 - 906 Sheppard Avenue W,"['Living', 'Dining', 'Kitchen', 'Prim Bdrm', '2nd Br']","['3.13 x 3.80', '3.13 x 5.80', '2.42 x 2.80', '3.00 x 4.86', '5.85 x 3.78']","['Combined W/Dining, W/O To Balcony', 'Combined W/Living, Open Concept', 'Renovated, Open Concept, Breakfast Bar', 'W/O To Balcony, Laminate, 4 Pc Ensuite', 'Laminate, Closet']",Sale,Condo Apt,Apartment,800-899,,,Toronto,Bathurst Manor,2,2,1,5,N,Open,W,Central Air,N,,Restrict,5,None,,Forced Air,,Concrete,Underground,Owned,Undergrnd,1,1.0,Ensuite,671.56,2045.46,2023,Y,Y,Y,123780047,Wilson Heights And Sheppard,Toronto C06,MTCC,1378,Maple Ridge Community Management,https://www.houssmax.ca/vtournb/h7522638,,,,,Y,Visitor Parking,Park,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$799,900",17 Pebblewood Avenue,"['Primary Bedroom', 'Bedroom 2', 'Bedroom 3', 'Bedroom 4', 'Bedroom 5', 'Kitchen', 'Kitchen', 'Living room', 'Dining room']","['3.55 x 5.74', '2 x 4.11', '2.61 x 4.06', '2 x 4.8', '3 x 3.93', '2.87 x 4.8', '2.87 x 5.46', '3.35 x 5.15', '3.17 x 3.91']","['5.74 m x 3.55 m', '4.11 m x 2 m', '4.06 m x 2.61 m', '4.8 m x 2 m', '3.93 m x 3 m', '4.8 m x 2.87 m', '5.46 m x 2.87 m', '5.15 m x 3.35 m', '3.91 m x 3.17 m']",,,,,,,,,5,3,,,,,,,False,,,,N/A (Finished),,Forced air,,"Brick,  Aluminum siding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,For sale,Single Family,Semi-detached,Freehold,E11177170,3,Concrete,Natural gas,Central air conditioning,2,Attached Garage,4,,,Municipal water,Sanitary sewer,Mcnicoll/Middlefield,Milliken,false,,1499.9875 - 1999.983 sqft,2,1,,Vinyl,"Dishwasher,  Dryer,  Refrigerator,  Stove,  Washer",Finished,,,,25 x 110 FT,,25 x 110 FT,110 ft,25 ft,,,"Park,  Public Transit,  Schools",Carpet Free,Fenced yard,Res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$895,000",41 Squires Avenue,"['Laundry room', 'Family room', 'Bedroom', 'Workshop', 'Foyer', 'Living room', 'Dining room', 'Kitchen', 'Primary Bedroom', 'Bedroom 2', 'Bedroom 3']","['2.18 x 4.14', '4.11 x 6.83', '3.91 x 5.41', '3.2 x 4.65', '3.78 x 4.91', '3.78 x 4.83', '2.57 x 3.07', '3.05 x 3.3', '3.02 x 4.14', '3.02 x 3.78', '2.72 x 3.61']","['4.14 m x 2.18 m', '6.83 m x 4.11 m', '5.41 m x 3.91 m', '4.65 m x 3.2 m', '4.91 m x 3.78 m', '4.83 m x 3.78 m', '3.07 m x 2.57 m', '3.3 m x 3.05 m', '4.14 m x 3.02 m', '3.78 m x 3.02 m', '3.61 m x 2.72 m']",,,Bungalow,,,,,,4,2,,,,,,,True,,,,N/A (Finished),,Forced air,,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,For sale,Single Family,Detached,Freehold,E11178017,3,Concrete,Natural gas,Central air conditioning,1,Attached Garage,3,,,Municipal water,Sanitary sewer,St. Clair/West of Victoria Park,O'Connor-Parkview,false,https://realfeedsolutions.com/vtour/41SquiresAve/index_.php,,1,,,"Hardwood,  Vinyl",Garage door opener remote(s),Finished,Separate entrance,,,50 x 109.16 FT,,50 x 109.16 FT,"109 ft , 1 in",50 ft,,,"Place of Worship,  Public Transit,  Schools",,,,Sewer,Installed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$3,999,000",41 Hill Crescent,"['Laundry room', 'Bedroom', 'Bedroom', 'Bedroom', 'Bedroom', 'Bedroom', 'Great room', 'Foyer', 'Living room', 'Dining room', 'Office', 'Kitchen']","['3.65 x 4.29', '5.63 x 6.04', '5.43 x 5.13', '4.01 x 4.56', '5.49 x 4.67', '4.07 x 4.37', '6.65 x 6.05', '6.58 x 4.21', '7.4 x 8.5', '5.3 x 5.74', '3.85 x 4.27', '7.08 x 9.39']","['4.29 m x 3.65 m', '6.04 m x 5.63 m', '5.13 m x 5.43 m', '4.56 m x 4.01 m', '4.67 m x 5.49 m', '4.37 m x 4.07 m', '6.05 m x 6.65 m', '4.21 m x 6.58 m', '8.5 m x 7.4 m', '5.74 m x 5.3 m', '4.27 m x 3.85 m', '9.39 m x 7.08 m']",,,,,,,,,5,7,,,,,,,True,,,,N/A (Partially finished),,Forced air,,"Brick,  Stone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,For sale,Single Family,Detached,Freehold,E11176950,5,Concrete,,"Central air conditioning,  Ventilation system",2,Attached Garage,12,,,Municipal water,Sanitary sewer,Markham & HILL CRESCENT,Scarborough Village,false,,4999.958 - 99999.6672 sqft,,1,,Hardwood,"Oven - Built-In,  Intercom",Partially finished,Separate entrance,,,100 x 412 FT,,100 x 412 FT,412 ft,100 ft,,,Beach,Wheelchair access,Fenced yard,423.64,,,"Direct Water View,  Unobstructed Water View",Generator,Lake/Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$599,900",1110 - 57 St. Joseph Street,"['Br', 'Living', 'Dining', 'Kitchen', 'Bathroom', 'Laundry']","['2.64 x 3.60', '3.70 x 5.60', '3.70 x 5.60', '2.60 x 2.60', '1.52 x 2.60', '1.00 x 1.00']","['Laminate, Window, Closet', 'Combined W/Dining, Laminate, W/O To Balcony', 'Combined W/Living, Laminate', 'O/Looks Dining, Laminate, Stainless Steel Appl', 'Ceramic Floor, 4 Pc Bath', 'Ceramic Floor']",Sale,Condo Apt,Apartment,500-599,,,Toronto,Bay Street Corridor,1,1,1,4,N,Open,W,Central Air,Y,,Restrict,11,None,N,Forced Air,No,Concrete,Underground,None,None,0,0.0,None,435.11,2926.00,2024,Y,,Y,765380208,Wellesley/Bay,Toronto C01,TSCP,2538,Crespo,,,,N,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$819,999",1102 - 8 York Street,"['Living', 'Kitchen', 'Prim Bdrm', '2nd Br', 'Bathroom', 'Bathroom']","['4.40 x 5.90', '2.91 x 2.57', '2.74 x 3.30', '2.68 x 2.68', '2.60 x 1.50', '1.56 x 1.52']","['Combined W/Dining, Laminate, W/O To Balcony', 'Granite Counter, Tile Floor, Open Concept', 'Laminate, W/I Closet, 4 Pc Ensuite', 'Double Closet, Laminate, Pocket Doors', '4 Pc Ensuite', '3 Pc Bath']",Sale,Condo Apt,Apartment,900-999,,,Toronto,Waterfront Communities C1,2,2,1,4,N,Open,E,Central Air,N,,Restrict,11,None,,Forced Air,,Concrete,Underground,None,None,0,1.0,None,886.27,3597.91,2024,Y,Y,Y,,York St & Queens Quay W,Toronto C01,TSCC,1598,ICC Property Management LTD,,Y,Ensuite,,Y,Y,Rooftop Deck/Garden,Library,,,E55,P2,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$999,000",676 Tretheway Drive,"['Bedroom 2', 'Bedroom 3', 'Kitchen', 'Living room', 'Bedroom']","['4.09 x 3.15', '4.1 x 3.26', '3.84 x 2.25', '5.05 x 3.45', '3.44 x 3.45']","['3.15 m x 4.09 m', '3.26 m x 4.1 m', '2.25 m x 3.84 m', '3.45 m x 5.05 m', '3.45 m x 3.44 m']",,,,,,,,,3,1,,,,,,,False,,,,N/A (Partially finished),,Forced air,,"Aluminum siding,  Wood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,For sale,Single Family,Detached,Freehold,W11167535,3,Unknown,Natural gas,,1.5,,4,,,Municipal water,Sanitary sewer,Jane St & Tretheway Dr,Brookhaven-Amesbury,false,,,,,,,,Partially finished,,,,27.42 x 114.8 FT,,27.42 x 114.8 FT,"114 ft , 9 in","27 ft , 5 in",,,,,,114.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
