,link,Neighbourhood,address
1,/on/etobicoke-real-estate/508-40-richview-rd/home/r56k97w00rO3KRjD/,Humber Heights-Westmount,"508 - 40 Richview Rd , Etobicoke - Humber Heights"
3,/on/etobicoke-real-estate/24-wallis-cres/home/0ZxwR7MoA2xYKabB/,Mount Olive-Silverstone-Jamestown,"24 Wallis Cres , Etobicoke - Mount Olive-Silverstone-Jamestown"
7,/on/toronto-real-estate/2611-8-eglinton-ave-e/home/kbEDRYaa8WvY1VaB/,North Toronto,"2611 - 8 Eglinton Ave E , Toronto - Mount Pleasant West"
9,/on/etobicoke-real-estate/405-35-fontenay-crt/home/L5VXv3lomaV7j2q8/,Edenbridge-Humber Valley,"405 - 35 Fontenay Crt , Etobicoke - Edenbridge-Humber Valley"
10,/on/toronto-real-estate/12-51-florence-st/home/a6zqW7dV5ZgY5eZE/,Little Portugal,"12 - 51 Florence St , Toronto - Little Portugal"
13,/on/scarborough-real-estate/44-401-sewells-rd/home/owJKR7P9wkO3XeLP/,Morningside Heights,"44 - 401 Sewells Rd , Scarborough - Rouge E11"
14,/on/toronto-real-estate/53-wilson-park-rd/home/6VLaGyGk9PGyW1ZD/,South Parkdale,"53 Wilson Park Rd , Toronto - South Parkdale"
16,/on/toronto-real-estate/241-lansdowne-ave/home/damgL7Aqr8b7Z1MW/,Little Portugal,"241 Lansdowne Ave , Toronto - Little Portugal"
21,/on/etobicoke-real-estate/508-40-richview-rd/home/r56k97w00rO3KRjD/,Humber Heights-Westmount,"508 - 40 Richview Rd , Etobicoke - Humber Heights"
23,/on/etobicoke-real-estate/24-wallis-cres/home/0ZxwR7MoA2xYKabB/,Mount Olive-Silverstone-Jamestown,"24 Wallis Cres , Etobicoke - Mount Olive-Silverstone-Jamestown"
27,/on/toronto-real-estate/2611-8-eglinton-ave-e/home/kbEDRYaa8WvY1VaB/,North Toronto,"2611 - 8 Eglinton Ave E , Toronto - Mount Pleasant West"
29,/on/etobicoke-real-estate/405-35-fontenay-crt/home/L5VXv3lomaV7j2q8/,Edenbridge-Humber Valley,"405 - 35 Fontenay Crt , Etobicoke - Edenbridge-Humber Valley"
30,/on/toronto-real-estate/12-51-florence-st/home/a6zqW7dV5ZgY5eZE/,Little Portugal,"12 - 51 Florence St , Toronto - Little Portugal"
33,/on/scarborough-real-estate/44-401-sewells-rd/home/owJKR7P9wkO3XeLP/,Morningside Heights,"44 - 401 Sewells Rd , Scarborough - Rouge E11"
34,/on/toronto-real-estate/53-wilson-park-rd/home/6VLaGyGk9PGyW1ZD/,South Parkdale,"53 Wilson Park Rd , Toronto - South Parkdale"
36,/on/toronto-real-estate/241-lansdowne-ave/home/damgL7Aqr8b7Z1MW/,Little Portugal,"241 Lansdowne Ave , Toronto - Little Portugal"
41,/on/scarborough-real-estate/735-68-corporate-dr/home/a6zqW7dGnpVy5eZE/,Woburn North,"735 - 68 Corporate Dr , Scarborough - Woburn"
44,/on/etobicoke-real-estate/2224-5233-dundas-st-w/home/weQp5yOwNo0yd0ZE/,Etobicoke City Centre,"2224 - 5233 Dundas St W , Etobicoke - Islington-City Centre West"
46,/on/etobicoke-real-estate/1204-61-richview-rd/home/eVbOYEpA8Jn3x2P0/,Edenbridge-Humber Valley,"1204 - 61 Richview Rd , Etobicoke - Humber Heights"
47,/on/north-york-real-estate/34-pleasant-view-dr/home/Z5BX32z9vbl3Dar0/,Pleasant View,"34 Pleasant View Dr , North York - Pleasant View"
48,/on/north-york-real-estate/64-ruscica-dr/home/DO1w3WqkQ6Ky8Jg0/,Victoria Village,"64 RUSCICA Dr , North York - Victoria Village"
50,/on/toronto-real-estate/889c-adelaide-st-w/home/knbq6y1LJJxYo9DA/,West Queen West,"889C Adelaide St W , Toronto - Niagara"
53,/on/north-york-real-estate/7-lockerbie-ave/home/Z5BX32zwdmX3Dar0/,Pelmo Park-Humberlea,"7 Lockerbie Ave , North York - Humberlea-Pelmo Park W4"
